query	reference	CosineHungarian_0.01_0.0_1.0_scores	CosineHungarian_0.01_0.0_1.0_matches
Pendimethalin	Perylene_2H12	0.001687346197402198	1
Pyridaben	Perylene_2H12	0.05603958047750676	2
Trifloxystrobin	Perylene_2H12	0.017781926338745663	1
Amitraz	Perylene_2H12	0.04047689589215056	1
Fenpropimorph	Perylene_2H12	0.025652981124005034	1
Lilial	Perylene_2H12	0.014478682981304591	1
Metazachlor	Perylene_2H12	0.008514957213981902	1
Metolachlor	Perylene_2H12	0.0077676309959007995	1
Propargite	Perylene_2H12	0.008473037033143097	1
Tebufenpyrad	Perylene_2H12	0.03870847486853448	2
alpha-Amylcinnamaldehyde	Perylene_2H12	0.006036624801817584	1
alpha-Amylcinnamyl alcohol	Perylene_2H12	0.005603203700746139	1
1-Nitronaphthalene	Perylene_2H12	0.003628262608228222	1
Monocrotophos	Perylene_2H12	0.016350032645878837	1
Tris(4-tert-butylphenyl) phosphate	Perylene_2H12	0.00578921390575895	1
Triadimenol	Perylene_2H12	0.01611867357137324	1
Kresoxim-methyl	Perylene_2H12	0.021346718625292714	1
1,2-Benzanthraquinone	Perylene	0.0055754976344344395	1
Pendimethalin	Perylene	0.16402611353253468	1
Tebuconazole	Perylene	0.03959905152998564	1
Cyproconazole	Perylene	0.004827328731337098	1
Monocrotophos	Perylene	0.0011162902347584957	1
Secbumeton	Perylene	0.008034625061667803	1
1,2-Benzanthraquinone	Phenanthrene_2H10	0.0012113162447372728	1
Mepronil	Phenanthrene_2H10	0.0010756698143853077	1
Mepanipyrim	Phenanthrene_2H10	0.001116666664360051	1
Pyridaben	Phenanthrene_2H10	0.0024344428914178495	1
Fenoxycarb	Phenanthrene_2H10	0.001664935689978939	1
Myclobutanil	Phenanthrene_2H10	0.0009783614203303576	1
Siduron	Phenanthrene_2H10	0.0011481175946381963	1
Pyriproxyfen	Phenanthrene_2H10	0.006609328506049937	2
Trifloxystrobin	Phenanthrene_2H10	0.0019895006876790855	1
Fenoxaprop-ethyl	Phenanthrene_2H10	0.008887338065726523	1
Amitraz	Phenanthrene_2H10	0.003579888503056014	2
