query	reference	CosineHungarian_0.01_0.0_1.0_scores	CosineHungarian_0.01_0.0_1.0_matches
Pendimethalin	Perylene_2H12	0.001687346197402198	1
Pyridaben	Perylene_2H12	0.05603958047750676	2
Picoxystrobin	Perylene_2H12	0.0024844970494187434	1
Trifloxystrobin	Perylene_2H12	0.017478530825850814	1
Amitraz	Perylene_2H12	0.045396052415708814	2
Fenpropimorph	Perylene_2H12	0.03381491539459939	3
Lilial	Perylene_2H12	0.014332587754253345	1
Metazachlor	Perylene_2H12	0.008514957213981902	1
Indoxacarb	Perylene_2H12	0.0033547713422218384	1
Metolachlor	Perylene_2H12	0.0076333375574391855	1
Propargite	Perylene_2H12	0.008026247621285763	1
Tebufenpyrad	Perylene_2H12	0.04188084841765845	3
alpha-Amylcinnamaldehyde	Perylene_2H12	0.0060131308777628826	1
alpha-Amylcinnamyl alcohol	Perylene_2H12	0.005561743644617956	1
Fenazaquin	Perylene_2H12	0.023560802571583748	3
1-Nitronaphthalene	Perylene_2H12	0.003628262608228222	1
Monocrotophos	Perylene_2H12	0.016350032645878837	1
Tris(4-tert-butylphenyl) phosphate	Perylene_2H12	0.005701852645818002	1
Triadimenol	Perylene_2H12	0.01611867357137324	1
Kresoxim-methyl	Perylene_2H12	0.021099596548978094	1
1,2-Benzanthraquinone	Perylene	0.0055754976344344395	1
Pendimethalin	Perylene	0.16402611353253468	1
Flusilazole	Perylene	0.005097438915094262	1
Tebuconazole	Perylene	0.039386958190497943	1
Cyproconazole	Perylene	0.0047754949545104385	1
Monocrotophos	Perylene	0.0011162902347584957	1
Secbumeton	Perylene	0.008034625061667803	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Phenanthrene_2H10	0.005424724319654283	1
1,2-Benzanthraquinone	Phenanthrene_2H10	0.0012113162447372728	1
Pyraclostrobin	Phenanthrene_2H10	0.0015099696185724245	1
Octrizole	Phenanthrene_2H10	0.0012681949008797463	1
Mepronil	Phenanthrene_2H10	0.0010756698143853077	1
Difenoconazole	Phenanthrene_2H10	0.0011914846032121341	1
Mepanipyrim	Phenanthrene_2H10	0.001116666664360051	1
