query	reference	scores
4-Methoxybenzyl alcohol	4-Methoxybenzyl alcohol	0.4891893267631531
2,2',4,4',5,5'-Hexachlorobiphenyl	2,2',4,4',5,5'-Hexachlorobiphenyl	0.6775355339050293
3,3',4,5,5'-Pentachlorobiphenyl	3,3',4,5,5'-Pentachlorobiphenyl	0.6762503385543823
Pyriproxyfen	Pyriproxyfen	0.32856762409210205
Fenarimol	Fenarimol	0.6175435185432434
Butylated hydroxytoluene	Butylated hydroxytoluene	0.5024195313453674
Iprovalicarb	Iprovalicarb isomer 1	0.4398787021636963
Iprovalicarb	Iprovalicarb isomer 2	0.43648210167884827
Bifenthrin	Bifenthrin	0.5713891983032227
Trifloxystrobin	Trifloxystrobin	0.4213562607765198
2,2',3,4,5'-Pentachlorobiphenyl	2,2',3,4,5'-Pentachlorobiphenyl	0.7185103893280029
2,3,4,5,6-Pentabromotoluene	2,3,4,5,6-Pentabromotoluene	0.8259671926498413
2,3',4,4',5',6-Hexachlorobiphenyl	2,3',4,4',5',6-Hexachlorobiphenyl	0.7440236806869507
Triticonazole	Triticonazole	0.3919077217578888
Fenoxaprop-ethyl	Fenoxaprop-ethyl	0.4377208948135376
Flutolanil	Flutolanil	0.5899686217308044
Tebuconazole	Tebuconazole	0.5488218069076538
2,2',3,4,5,5',6-Heptachlorobiphenyl	2,2',3,4,5,5',6-Heptachlorobiphenyl	0.6457469463348389
Enilconazole	Enilconazole	0.3066752254962921
Isoprocarb	Isoprocarb	0.2392231822013855
Thiobencarb	Thiobencarb	0.6433331966400146
Dimethomorph	Dimethomorph_isomer2	0.38227659463882446
Diflubenzuron	Diflubenzuron	0.4276803731918335
Amitraz	Amitraz	0.5445902347564697
2,3',4,4'-Tetrachlorobiphenyl	2,3',4,4'-Tetrachlorobiphenyl	0.7204710841178894
Paclobutrazol	Paclobutrazol	0.4690645933151245
2,2',3,3',4,4',5-Heptachlorobiphenyl	2,2',3,3',4,4',5-Heptachlorobiphenyl	0.7054746747016907
2,2',3,4,4',5'-Hexachlorobiphenyl	2,2',3,4,4',5'-Hexachlorobiphenyl	0.7003158926963806
Benzophenone	Benzophenone	0.7538529634475708
2,3,5,6-Tetrabromo-p-xylene	2,3,5,6-Tetrabromo-p-xylene	0.770805835723877
Fenpropimorph	Fenpropimorph_isomer1	0.3065243363380432
Fenpropimorph	Fenpropimorph_isomer2	0.43816500902175903
Nuarimol	Nuarimol	0.5979841351509094
Dimethachlor	Dimethachlor	0.31691479682922363
Dioxacarb	Dioxacarb	0.5997018218040466
Lilial	Lilial	0.5297272801399231
Benzyl benzoate	Benzyl benzoate	0.709302544593811
Zoxamide	Zoxamide	0.6376715302467346
2,3,3',4',5,5',6-Heptachlorobiphenyl	2,3,3',4',5,5',6-Heptachlorobiphenyl	0.6776244044303894
Metazachlor	Metazachlor	0.47528722882270813
Propiconazole	Propiconazole_isomer1	0.4124680161476135
Propiconazole	Propiconazole_isomer2	0.47790995240211487
Hexaconazole	Hexaconazole	0.4132899343967438
2,2',3,4',5-Pentachlorobiphenyl	2,2',3,4',5-Pentachlorobiphenyl	0.7102760076522827
2,3',4,4',5-Pentachlorobiphenyl	2,3',4,4',5-Pentachlorobiphenyl	0.7136623859405518
2,2',3',4,4',5-Hexachloro-3-methoxybiphenyl	2,2',3',4,4',5-Hexachloro-3-methoxybiphenyl	0.4799518883228302
2,2',3,4,5,5'-Hexachlorobiphenyl	2,2',3,4,5,5'-Hexachlorobiphenyl	0.7151747941970825
