name	target_name	reverse_score	score	presence_ratio	matched_peaks_count
beta-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.0491877084868524	0.00526062130130211	0.0144927536231884	1
beta-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.0291040277813432	0.00311267333263038	0.0151515151515152	1
beta-Hexachlorocyclohexane	Transfluthrin	0.00915902615463251	0.00097955707981643	0.0181818181818182	1
beta-Hexachlorocyclohexane	trans-Permethrin	0.0033119589577485	0.000354213733026965	0.0256410256410256	1
beta-Hexachlorocyclohexane	cis-Cypermethrin_isomer2	0.00484709657465399	0.000518396572528052	0.0105263157894737	1
beta-Hexachlorocyclohexane	trans-Cypermethrin_isomer2	0.00236397829366951	0.000252827280433642	0.00709219858156028	1
beta-Hexachlorocyclohexane	cis-Cyfluthrin_isomer1	0.00206430482516837	0.00022077722808665	0.0151515151515152	1
beta-Hexachlorocyclohexane	trans-Cyfluthrin_isomer1	0.00511111572712624	0.000546633398763179	0.012987012987013	1
beta-Hexachlorocyclohexane	cis-Cyfluthrin_isomer2	0.00741030777046814	0.000792531795152628	0.0112359550561798	1
beta-Hexachlorocyclohexane	trans-Cyfluthrin_Isomer2	0.00463835451147227	0.000496071626360963	0.00961538461538462	1
beta-Hexachlorocyclohexane	Chlorpyrifos	0.00913788257766289	0.0034988139584911	0.0186915887850467	2
epsilon-Hexachlorocyclohexane	Chlorpyrifos	0.00913788257766289	0.0035019630204723	0.0186915887850467	2
Lindane	Chlorpyrifos	0.00913788257766289	0.00360940682898232	0.0186915887850467	2
delta-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.0491877084868524	0.00592862385429893	0.0144927536231884	1
delta-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.0291040277813432	0.00350792583490184	0.0151515151515152	1
delta-Hexachlorocyclohexane	Transfluthrin	0.00915902615463251	0.00110394288762235	0.0181818181818182	1
delta-Hexachlorocyclohexane	trans-Permethrin	0.0033119589577485	0.000399192389428249	0.0256410256410256	1
delta-Hexachlorocyclohexane	cis-Cypermethrin_isomer2	0.00484709657465399	0.000584223442412761	0.0105263157894737	1
delta-Hexachlorocyclohexane	trans-Cypermethrin_isomer2	0.00236397829366951	0.00028493171432534	0.00709219858156028	1
delta-Hexachlorocyclohexane	cis-Cyfluthrin_isomer1	0.00206430482516837	0.000248811892351295	0.0151515151515152	1
delta-Hexachlorocyclohexane	trans-Cyfluthrin_isomer1	0.00511111572712624	0.000616045828400862	0.012987012987013	1
delta-Hexachlorocyclohexane	cis-Cyfluthrin_isomer2	0.00741030777046814	0.000893168817316164	0.0112359550561798	1
delta-Hexachlorocyclohexane	trans-Cyfluthrin_Isomer2	0.00463835451147227	0.00055906363698077	0.00961538461538462	1
delta-Hexachlorocyclohexane	Chlorpyrifos	0.00429783085429721	0.00108625879391628	0.00934579439252336	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.0491877084868524	0.00595258692973101	0.0144927536231884	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.0291040277813432	0.00352210462132138	0.0151515151515152	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	Transfluthrin	0.00915902615463251	0.00110840494616054	0.0181818181818182	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	trans-Permethrin	0.0033119589577485	0.000400805896639175	0.0256410256410256	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	cis-Cypermethrin_isomer2	0.00484709657465399	0.000586584831963486	0.0105263157894737	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	trans-Cypermethrin_isomer2	0.00236397829366951	0.00028608338802419	0.00709219858156028	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	cis-Cyfluthrin_isomer1	0.00206430482516837	0.000249817572301877	0.0151515151515152	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	trans-Cyfluthrin_isomer1	0.00511111572712624	0.000618535841769627	0.012987012987013	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	cis-Cyfluthrin_isomer2	0.00741030777046814	0.000896778942071743	0.0112359550561798	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	trans-Cyfluthrin_Isomer2	0.00463835451147227	0.00056132333238961	0.00961538461538462	1
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	Chlorpyrifos	0.00429783085429721	0.00107623143397721	0.00934579439252336	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Butylated hydroxytoluene	0.0032779594491138	0.000429498332385551	0.0238095238095238	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Enzacamene	0.0116051213554801	0.0047851947566966	0.0169491525423729	2
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	trans-Resmethrin	0.00625589462860476	0.000819685646596961	0.0169491525423729	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	cis-Phenothrin	0.007330972785625	0.000960548974161662	0.0161290322580645	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	trans-Phenothrin	0.00823606297593227	0.00107913943674368	0.0181818181818182	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	cis-Cyphenothrin	0.00826782028668254	0.00108330047418787	0.0144927536231884	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	cis-Cyfluthrin_isomer1	0.00697134047550517	0.00287452589841135	0.0303030303030303	2
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	trans-Cyfluthrin_Isomer2	0.00176484491133792	0.000496466082577656	0.00961538461538462	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Lilial	0.00294032915584344	0.000385259942566033	0.0263157894736842	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Camphor	0.00337126963637865	0.000441724404869659	0.0476190476190476	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Eucalyptol	0.0705783394133885	0.0291019015960414	0.0606060606060606	2
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Limonene	0.0390353270118352	0.0160956216157762	0.0833333333333333	2
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	delta-Iraldeine	0.0168822913656753	0.00221202125925164	0.032258064516129	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Hydroxychrysene	0.01176181604288	0.00154110520726799	0.025	1
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Progesterone	0.0126359889670225	0.00521025729059866	0.0119047619047619	2
alpha-1,2-Dibromo-4-(1,2-dibromoethyl)cyclohexane	Testosterone	0.0175965586523346	0.00725567252765472	0.0153846153846154	2
1,2-Benzanthraquinone	1,2-Benzanthraquinone	0.326825237457499	0.272361912864841	0.0681818181818182	3
1,2-Benzanthraquinone	1,4-Chrysenequinone	0.253410861629111	0.211181570771466	0.0218978102189781	3
1,2-Benzanthraquinone	1-Nitronaphthalene	0.00206051172170942	0.000138424657872241	0.0204081632653061	1
1,2-Benzanthraquinone	1,4-Naphthoquinone	0.0675699799847704	0.00453933421648599	0.0196078431372549	1
1,2-Benzanthraquinone	Praziquantel	0.00558017224654153	0.0003748745643897	0.0175438596491228	1
1,2-Benzanthraquinone	Thiobencarb	0.0054938585307149	0.00297026136912844	0.037037037037037	1
1,2-Benzanthraquinone	Linuron	0.00140033328435929	0.000757091911847227	0.0072463768115942	1
Ethiprole	Fipronil	0.440135206456138	0.15733197069161	0.0338983050847458	2
Ethiprole	Ethiprole	0.127867169114783	0.0457077584535173	0.00746268656716418	2
Tebuthiuron	Tebuthiuron	0.10186317999239	0.0149944196085064	0.0526315789473684	1
Tebuthiuron	Metribuzin	0.00601259853419783	0.00176223472925742	0.0303030303030303	1
Pyraclostrobin	2,4-D butyl ester	0.021848082528357	0.00340063717303024	0.0140845070422535	1
Pyraclostrobin	Aminocarb	0.0259698049021738	0.0033450304079361	0.0344827586206897	1
Pyraclostrobin	Methomyl	0.00360096025606828	0.000740410788102151	0.00909090909090909	1
