query	reference	CosineHungarian_0.0035_0.0_1.0_scores	CosineHungarian_0.0035_0.0_1.0_matches
Perylene_2H12	Perylene_2H12	0.0087187970158702	1
Perylene	Perylene	0.8898059197525912	12
Phenanthrene_2H10	Phenanthrene_2H10	0.0001344881043045	1
Phenanthrene	Phenanthrene	0.9440450943644676	15
Anthracene	Anthracene	0.9420729814235752	16
Acenaphthylene	Acenaphthylene	0.9378857718781576	13
Acenaphthene	Acenaphthene	0.6686826253068304	13
Fluoranthene	Fluoranthene	0.948774017682199	15
Pyrene	Pyrene	0.937075996631993	13
para-Terphenyl	para-Terphenyl	0.8887600137767644	16
Retene	Retene	0.6450506473602031	33
Benzo[b]naphtho[2,1-d]thiophene	Benzo[b]naphtho[2,1-d]thiophene	0.9589889194029564	7
2,3-Benzofluorene	2,3-Benzofluorene	0.7020521842701191	9
Benzo[ghi]fluoranthene	Benzo[ghi]fluoranthene	0.927036972707218	12
Triphenylene	Triphenylene	0.9059724432357228	15
Benzofluoranthene	Benzofluoranthene	0.9406410204929744	11
Benzo(k)fluoranthene	Benzo(k)fluoranthene	0.9457756386887304	15
Benzo[e]pyrene	Benzo[e]pyrene	0.9165041199309716	13
Benzo(a)pyrene	Benzo(a)pyrene	0.9280022686084298	12
Indeno[1,2,3-cd]pyrene	Indeno[1,2,3-cd]pyrene	0.9434474699006726	9
Benzo(g,h,i)perylene	Benzo(g,h,i)perylene	0.9105337640289892	10
Anthanthrene	Anthanthrene	0.9113626284941724	11
Dibenzanthracene	Dibenzanthracene	0.9101586922997758	15
Coronene	Coronene	0.8553854580283343	7
Dicofol	Dicofol	0.8484530614227901	9
Benzophenone	Benzophenone	0.9068416030069704	11
2-tert-Butyl-4-methoxyphenol	2-tert-Butyl-4-methoxyphenol	0.5361343028851953	19
Butylated hydroxytoluene	Butylated hydroxytoluene	0.5929706797659072	20
Bumetrizole	Bumetrizole	0.2661240207598365	22
4-Methylbenzophenone	4-Methylbenzophenone	0.6568811489638633	14
2,4,6-Tribromophenol	2,4,6-Tribromophenol	0.8296648567056003	23
2,6-Dichloro-4-nitroaniline	2,6-Dichloro-4-nitroaniline	0.5062280259905171	18
1-Methylphenanthrene	1-Methylphenanthrene	0.8427959243006534	11
Triclosan	Triclosan	0.2430807078046091	12
Drometrizole	Drometrizole	0.7627453171343298	10
Enzacamene	Enzacamene	0.417351297176539	58
2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	2,4-Di-tert-butyl-6-(5-chloro-2H-benzotriazol-2-yl)phenol	0.336653277349482	25
Octrizole	Octrizole	0.459279136577339	12
1,2,7,9-Tetrachlorodibenzofuran	1,2,7,9-Tetrachlorodibenzofuran	0.8450496336631833	20
2,2',3,4,5,5',6-Heptachlorobiphenyl	2,2',3,4,5,5',6-Heptachlorobiphenyl	0.7487951759738778	53
2,4,6-Trichlorobiphenyl	2,4,6-Trichlorobiphenyl	0.865880685678905	34
2,2',3,3',4,5',6,6'-Octachlorobiphenyl	2,2',3,3',4,5',6,6'-Octachlorobiphenyl	0.7797501037773169	61
Mirex	Mirex	0.4372599034247368	64
beta-Hexachlorocyclohexane	beta-Hexachlorocyclohexane	0.0920618043501743	33
alpha-1,2,3,4,5,6-Hexachlorocyclohexane	alpha-1,2,3,4,5,6-Hexachlorocyclohexane	0.1492740054200533	39
Lindane	Lindane	0.0871922665013543	32
delta-Hexachlorocyclohexane	delta-Hexachlorocyclohexane	0.1129840586456127	39
epsilon-Hexachlorocyclohexane	epsilon-Hexachlorocyclohexane	0.1306732357027965	38
Pentachlorobenzene	Pentachlorobenzene	0.9463034145627977	34
Hexachlorobenzene	Hexachlorobenzene	0.9327039170603884	39
2,4'-Dichlorodiphenyldichloroethylene	2,4'-Dichlorodiphenyldichloroethylene	0.5023115529204529	35
2,4'-Dichlorodiphenyldichloroethane	2,4'-Dichlorodiphenyldichloroethane	0.4156077649704224	25
2,4'-Dichlorodiphenyltrichloroethane	2,4'-Dichlorodiphenyltrichloroethane	0.628735073389999	42
1,2,7,9-Tetrachlorodibenzo-p-dioxin	1,2,7,9-Tetrachlorodibenzo-p-dioxin	0.8104000560326544	16
2,4,4'-Trichlorobiphenyl	2,4,4'-Trichlorobiphenyl	0.8714203694590718	29
2,2',4,5,5'-Pentachlorobiphenyl	2,2',4,5,5'-Pentachlorobiphenyl	0.8020784153874775	46
2,3',4,4',5-Pentachlorobiphenyl	2,3',4,4',5-Pentachlorobiphenyl	0.9061817691219298	35
2,2',3,4,4',5'-Hexachlorobiphenyl	2,2',3,4,4',5'-Hexachlorobiphenyl	0.8152957569355297	55
2,2',4,4',5,5'-Hexachlorobiphenyl	2,2',4,4',5,5'-Hexachlorobiphenyl	0.7658186956057487	70
2,2',3,4,4',5,5'-Heptachlorobiphenyl	2,2',3,4,4',5,5'-Heptachlorobiphenyl	0.770552422170589	74
2,2',5,5'-Tetrachlorobiphenyl	2,2',5,5'-Tetrachlorobiphenyl	0.8085205617317928	48
2,3',4,6-Tetrachlorobiphenyl	2,3',4,6-Tetrachlorobiphenyl	0.8670991780323307	43
2,3',5',6-Tetrachlorobiphenyl	2,3',5',6-Tetrachlorobiphenyl	0.84032320437712	36
2,2',3,4',5-Pentachlorobiphenyl	2,2',3,4',5-Pentachlorobiphenyl	0.7936738317295909	56
2,3,3',4,5-Pentachlorobiphenyl	2,3,3',4,5-Pentachlorobiphenyl	0.8745073690974677	40
3,3',4,5,5'-Pentachlorobiphenyl	3,3',4,5,5'-Pentachlorobiphenyl	0.8793032909662604	40
2,3',4,4',5',6-Hexachlorobiphenyl	2,3',4,4',5',6-Hexachlorobiphenyl	0.8609258969068738	60
2,3,3',4,5,6-Hexachlorobiphenyl	2,3,3',4,5,6-Hexachlorobiphenyl	0.8543064078890631	62
2,3,3',4',5',6-Hexachlorobiphenyl	2,3,3',4',5',6-Hexachlorobiphenyl	0.8669285296581263	61
2,3,3',4',5,6-Hexachlorobiphenyl	2,3,3',4',5,6-Hexachlorobiphenyl	0.8387159045156956	43
2,3,3',4',5,5',6-Heptachlorobiphenyl	2,3,3',4',5,5',6-Heptachlorobiphenyl	0.8170015639688876	63
cis-Prallethrin	cis-Prallethrin	0.6340690826006565	24
cis-Resmethrin	cis-Resmethrin	0.2703564653208669	28
trans-Resmethrin	trans-Resmethrin	0.3293851132300376	34
cis-Tetramethrin	cis-Tetramethrin	0.3864889713591263	17
trans-Tetramethrin	trans-Tetramethrin	0.4908821682619522	18
Bifenthrin	Bifenthrin	0.7223297167404105	17
Fenpropathrin	Fenpropathrin	0.2405311943739384	24
cis-Phenothrin	cis-Phenothrin	0.6810127165341128	25
