class,scores,matches,matches_norm_query,matches_norm_reference,molecular_flexibility,rotatable_bonds,stereo_centers,molecular_complexity,n_atoms,precursor_mz,electronegative_atoms,aromatic_nitrogens,amines,amides
Organochlorides,61.4098548311103,77.0,0.20923913043478262,0.2883895131086142,0.41905,1.0,2.0,0.89747,33.0,539.73718,8.0,0.0,0.0,0.0
Organonitrogen compounds,515.0918128837811,12.0,0.375,0.6,0.29385,3.0,0.0,0.72591,35.0,238.1422,6.0,2.0,0.0,1.0
Organooxygen compounds,469.071611576078,16.0,0.20261437908496732,0.5676207513416816,0.458065,4.0,1.0,0.73916,46.5,289.752275,3.0,0.0,0.5,0.0
Organothiophosphorus compounds,102.1150299864112,3.0,0.09375,0.022900763358778626,0.851,2.0,1.0,0.74893,20.0,182.05708,6.0,0.0,0.0,0.0
Oxanes,533.3202668425823,52.0,0.37269076305220883,0.4955252001884126,0.158215,0.0,3.5,0.828235,26.0,271.971445,4.5,0.0,0.0,0.0
Phenanthrenes and derivatives,889.8059197525912,12.0,0.21153846153846154,0.631578947368421,0.0,0.0,0.0,0.76921,30.0,244.0883,0.0,0.0,0.0,0.0
Phenol ethers,349.0825399558732,21.5,0.30640732265446224,0.44576719576719576,0.51096,4.5,0.0,0.71132,33.0,288.10400500000003,5.0,0.0,0.0,0.0
Phenols,767.8641487857067,16.5,0.36887755102040815,0.30671834625322997,0.36074,2.0,0.0,0.65527,24.0,172.09875,2.0,0.0,0.0,0.0
Prenol lipids,329.38511323003763,34.0,0.3813559322033898,0.4915254237288136,0.339,1.0,2.0,0.74499,36.0,319.14459,3.0,0.0,0.0,0.0
Pyrenes,916.5041199309716,11.0,0.1864406779661017,0.5,0.0,0.0,0.0,0.75903,34.0,276.09332,0.0,0.0,0.0,0.0
Pyridines and derivatives,25.1066637617505,14.0,1.0769230769230769,0.15053763440860216,0.67387,6.0,0.0,0.71389,29.0,307.92197,9.0,1.0,0.0,0.0
Steroids and steroid derivatives,354.5633532445171,49.0,0.43902439024390244,0.48514851485148514,0.15604,0.0,5.0,0.90577,46.0,288.20841,2.0,0.0,0.0,0.0
Stilbenes,112.1875554934016,28.0,0.2413793103448276,0.32558139534883723,0.42661,4.0,2.0,0.86625,36.0,328.06427,6.0,3.0,0.0,0.0
Tetrahydroisoquinolines,41.5042024275216,12.0,0.5714285714285714,0.21052631578947367,0.28817,1.0,1.0,0.85157,47.0,312.18323,4.0,0.0,0.0,2.0
Tetralins,792.7764148913639,33.0,0.2727272727272727,0.717391304347826,0.22959,1.0,1.0,0.82844,45.0,258.19778,1.0,0.0,0.0,0.0
Thiadiazinanes,491.37650171316386,25.0,0.423728813559322,0.3048780487804878,0.44174,3.0,0.0,0.7659,44.0,305.15527,5.0,0.0,0.0,2.0
Thioethers,184.24034977829783,14.0,0.3181818181818182,0.42424242424242425,0.40879,2.0,0.0,0.68273,28.0,214.0882,6.0,0.0,0.0,0.0
Triazines,474.0772419342389,19.0,0.5833333333333334,0.3384615384615385,0.49945,5.0,0.0,0.59413,35.0,225.15822,6.0,3.0,0.0,0.0
Vinyl halides,387.0107402134963,85.0,0.34049479166666663,0.5680722891566266,0.0,0.0,6.0,1.01775,25.0,409.78934,8.0,0.0,0.0,0.0
