Database No.,name,Inchikey ,Short,number_of_atoms,Mass,Match,R.match,Prob,Rank,Time in Seconds,RBN,RBF,PHI,N/O,high/low hinderance ,Dot,Cos
26,"2,5-Methano-2H-furo[3,2-b]pyran-8-one, hexahydro-",QDHIMWQUHRGIEV-UHFFFAOYSA-N   ,QDHIMWQUHRGIEV,21,154.06,NA,NA,NA,NA,5468,0,0,1.018054138,,high,423.3256316,0.330855435
27,"2,3-Dioxabicyclo[2.2.2]octane",BFPOIBUGVNVNKU-UHFFFAOYSA-N ,BFPOIBUGVNVNKU,18,114.07,234,360,5.6,NA,1691,0,0,1.049840371,,high,278.3880598,0.613816337
29,Propanal,NBBJYMSMWIIQGU-UHFFFAOYSA-N ,NBBJYMSMWIIQGU,10,58.04,399,399,0.28,18,1185,0,0,0.835996625,,high,646.1524116,0.625382898
31,"2-Propynoic acid, 3-(1-hydroxycyclohexyl)-, methyl ester",LVUQPCAQXKXOEE-UHFFFAOYSA-N ,LVUQPCAQXKXOEE,27,182.09,NA,NA,NA,NA,6865,0,0,0.926656566,,high,423.2516566,0.375965241
32,"Furan, 2,5-dihydro-3-methyl-",GSDYNJRRFBBEJS-UHFFFAOYSA-N ,GSDYNJRRFBBEJS,14,84.06,NA,NA,NA,NA,1194,0,0,1.012772515,,high,825.5593834,0.424487065
33,"2,8,4,6-(Epoxyethanediylidenoxy)[1,3]dioxino[5,4-d]-1,3-dioxin, tetrahydro-",HHYYYQCRMPRQHX-UHFFFAOYSA-N ,HHYYYQCRMPRQHX,22,200.03,370,370,7.14,3,3975,0,0,0.960939017,,high,905.6778316,0.697967188
35,"3,4-Furandicarboxylic acid",SYLAFCZSYRXBJF-UHFFFAOYSA-N ,SYLAFCZSYRXBJF,15,156.01,566,602,3.3,5,2071,0,0,1.456204225,,high,854.7935288,0.641477911
42,"Benzaldehyde, 4-(1,3-dioxolan-2-yl)-",XXTKORQHKOYXIH-UHFFFAOYSA-N,XXTKORQHKOYXIH,23,178.06,485,487,15.7,1,5237,0,0,1.077616938,,high,646.1026486,0.597277337
43,"1,3-Dioxolane-4,5-dione",IVJSVTUVNPAOTO-UHFFFAOYSA-N ,IVJSVTUVNPAOTO,9,102.00,NA,NA,NA,NA,386,0,0,2.225579409,,high,107.0675824,0.828326329
44,DL-Arabinose,SRBFZHDQGSBBOR-UHFFFAOYSA-N  ,SRBFZHDQGSBBOR,20,150.05,391,429,0.08,52,3223,0,0,1.800570315,,high,130.7858188,0.317170318
47,"1,3-dioxane-5,5-dimethanol, 2-methyl-",QYSOFXYWZFPSCB-UHFFFAOYSA-N ,QYSOFXYWZFPSCB,25,162.09,307,349,0.08,78,4841,0,0,1.437072255,,high,380.4288978,0.504449107
49,"1,3,5-Trioxane",BGJSXRVXTHVRSN-UHFFFAOYSA-N   ,BGJSXRVXTHVRSN,12,90.03,141,141,0,13,1073,0,0,2.404756651,,high,123.397431,0.176914724
50,"Cyclobutane-3,4-dione, 1,1-dihydroxy-2,2-dimethoxy-",RDDFXEXZZMNBNN-UHFFFAOYSA-N ,RDDFXEXZZMNBNN,20,176.03,NA,NA,NA,NA,6504,0,0,0.770963977,,high,155.5125571,0.115380375
51,"2H-Benzocyclohepten-2-one, 3,4,4a,5,6,7,8,9-octahydro-",GWGBQUOWRUBYTJ-UHFFFAOYSA-N  ,GWGBQUOWRUBYTJ,28,164.12,568,574,8.91,5,7952,0,0,1.512084267,,high,757.9320021,0.588688227
57,"Oxirane, ethenyl-",GXBYFVGCMPJVJX-UHFFFAOYSA-N  ,GXBYFVGCMPJVJX,11,70.04,185,185,0.02,22,1196,0,0,0.430215672,,high,278.0003738,0.254017326
59,2-Oxabicyclo[2.2.0]hex-5-en-3-one,QAVYTTBRXJVSNJ-UHFFFAOYSA-N ,QAVYTTBRXJVSNJ,11,96.02,334,334,0,25,1708,0,0,0.99492901,,high,437.0514557,0.568352993
63,"9-(S)-Methyl-δ-5(10)-octalin-1,6-dione",DNHDRUMZDHWHKG-NSHDSACASA-N  ,DNHDRUMZDHWHKG,27,178.10,NA,NA,NA,NA,7906,0,0,1.152304403,,high,613.6534707,0.506462384
64,"2,3-Diformylphenol",VSGACYFHLPVUQM-UHFFFAOYSA-N ,VSGACYFHLPVUQM,17,150.03,510,535,0.01,95,4327,0,0,1.944880775,,high,829.6269909,0.543342805
65,"Spiropentanoic acid, methyl ester",ICLNWIYCFZWTPE-UHFFFAOYSA-N ,ICLNWIYCFZWTPE,19,126.07,532,539,0.09,33,2371,0,0,2.524765696,,high,537.0814792,0.757868414
66,"2,5-Furandione, 3-methyl-",AYKYXWQEBUNJCN-UHFFFAOYSA-N  ,AYKYXWQEBUNJCN,12,112.02,736,736,0.46,8,843,0,0,2.400797211,,high,613.0806911,0.577098728
70,"2,5-Cyclooctadien-1-ol",GAJWLWOIFZSYOW-PQZOIKATSA-N ,GAJWLWOIFZSYOW,21,124.09,NA,NA,NA,NA,3497,0,0,1.587417512,,high,310.7165321,0.305926202
72,1-Cyclohexene-1-methanol,QBJOHGAEIAUULA-UHFFFAOYSA-N  ,QBJOHGAEIAUULA,20,112.09,NA,NA,NA,NA,6676,0,0,1.91469855,,high,725.9381325,0.389567283
75,"2-Cyclohexen-1-one, 2-methyl-",LKTNAAYQZJAXCJ-UHFFFAOYSA-N ,LKTNAAYQZJAXCJ,18,110.07,547,547,0.02,79,2151,0,0,1.769713041,,high,830.6259459,0.672017382
77,"Bicyclo[3.3.0]octan-2-one, 7-isopropylidene-",ZJWYYAWAYYRFPV-UHFFFAOYSA-N ,ZJWYYAWAYYRFPV,28,164.12,NA,NA,NA,NA,7755,0,0,0.447283258,,high,800.1562181,0.451104209
78,"Benzene, (2-propynyloxy)-",AIQRJSXKXVZCJO-UHFFFAOYSA-N ,AIQRJSXKXVZCJO,18,132.06,NA,NA,NA,NA,5950,0,0,1.17173139,,high,379.2473596,0.425945302
80,"Dihydropyrano(3,2-f)coumaranone",RNKADCAFXYCJEN-UHFFFAOYSA-N ,RNKADCAFXYCJEN,24,190.06,NA,NA,NA,NA,6506,0,0,0.715608588,,high,693.4276707,0.240511294
83,"2,5-Furandione, dihydro-3-methylene-",OFNISBHGPNMTMS-UHFFFAOYSA-N  ,OFNISBHGPNMTMS,12,112.02,720,720,3.73,2,785,0,0,0.371993779,,high,958.1322612,0.811316536
92,Dicyclopropyl carbinol,PIXLZMHERIHLJL-UHFFFAOYSA-N ,PIXLZMHERIHLJL,20,112.09,NA,NA,NA,NA,3908,0,0,0.3466039,,high,253.0055573,0.362331851
93,"Spiro[2.2]pentane-1-carboxylic acid, 2-cyclopropyl-2-methyl-",SAVYPEZLECDCGS-UHFFFAOYSA-N ,SAVYPEZLECDCGS,26,166.10,NA,NA,NA,NA,6700,0,0,1.216816893,,high,609.0288464,0.424165853
96,"Spiro[2.3]hexan-4-one, 5,5-diethyl-",USEVBEOHTGJOOR-UHFFFAOYSA-N  ,USEVBEOHTGJOOR,28,168.12,506,508,0.03,96,6348,0,0,1.265446368,,high,737.2880238,0.456457269
99,"Oxirane, 2-methyl-3-propyl-, trans-",LIESJAYIOKBLIL-PHDIDXHHSA-N  ,LIESJAYIOKBLIL,19,100.09,NA,NA,NA,NA,1729,0,0,1.265446368,,high,365.6801257,0.205807648
101,(E)-3(10)-Caren-4-ol,BKSIPWIAFSUQKX-UHFFFAOYSA-N ,BKSIPWIAFSUQKX,27,152.12,NA,NA,NA,NA,6113,0,0,0.891686099,,high,486.2070432,0.490931591
103,"Oxetane, 2-(1,1-dimethylethyl)-3-methyl-",YZUOZLHQBCFIKB-UHFFFAOYSA-N ,YZUOZLHQBCFIKB,25,128.12,NA,NA,NA,NA,3453,0,0,1.65891009,,high,151.4833529,0.36823087
104,Isopinocarveol,LCYXQUJDODZYIJ-UHFFFAOYSA-N,LCYXQUJDODZYIJ,27,152.12,NA,NA,NA,NA,6452,0,0,1.214223942,,high,364.4641578,0.486365268
108,"5,5-Dimethyl-1,3-dioxan-2-one",JRFXQKZEGILCCO-UHFFFAOYSA-N ,JRFXQKZEGILCCO,19,130.06,547,547,82,NA,4681,0,0,1.172068196,,high,764.9284216,0.597890933
109,"2(3H)-Furanone, dihydro-3-methyl-",QGLBZNZGBLRJGS-UHFFFAOYSA-N ,QGLBZNZGBLRJGS,15,100.05,697,697,33.3,1,4047,0,0,1.370264995,,high,897.306033,0.66589812
110,"Cyclobutanone, 3-ethyl-",SWSOFKZYSFBJSH-UHFFFAOYSA-N   ,SWSOFKZYSFBJSH,18,114.07,673,715,0.48,59,2720,0,0,2.435774554,,high,895.3193966,0.841778223
111,2-Ethyl-3-vinyloxirane,AMXASLDHSQRSDI-UHFFFAOYSA-N  ,AMXASLDHSQRSDI,17,98.07,348,350,NA,NA,3426,0,0,0.935968846,,high,381.5085702,0.323772136
112,"Oxirane, 2-ethyl-3-propyl-",ZNAFWUJVHGNGIF-UHFFFAOYSA-N  ,ZNAFWUJVHGNGIF,22,114.10,496,507,NA,NA,3883,0,0,1.044964259,,high,480.3491373,0.290779522
115,"Pent-2-ynal, 4,4-dimethyl-",DTMPOWDLMOYPDD-UHFFFAOYSA-N  ,DTMPOWDLMOYPDD,18,110.07,NA,NA,NA,NA,5374,0,0,1.216816893,,high,537.0132481,0.375414449
117,"2(5H)-Furanone, 3-methyl-",VGHBEMPMIVEGJP-UHFFFAOYSA-N  ,VGHBEMPMIVEGJP,13,98.04,330,477,NA,NA,1105,0,0,1.095748175,,high,880.0809131,0.218360104
118,"Cyclopropanecarboxylic acid, methyl ester",PKAHQJNJPDVTDP-UHFFFAOYSA-N ,PKAHQJNJPDVTDP,15,100.05,658,658,0.16,27,1237,0,0,0.71217067,,high,569.400318,0.858660089
119,"2-Propen-1-one, 1-cyclopropyl-",TWFKEGONKTUVSX-UHFFFAOYSA-N  ,TWFKEGONKTUVSX,15,96.06,700,701,28.6,27,3577,0,0,0.71217067,,high,904.6587615,0.87783157
120,"-Deoxy-2,4-methylene-3,5-anhydro-d-xylitol",KIRRILZBWKPGLR-UHFFFAOYSA-N ,KIRRILZBWKPGLR,19,130.06,NA,NA,NA,NA,2227,0,0,0.805886873,,high,798.3865723,0.387660032
121,"1,2-Dimethylcyclopropanecarboxylic acid",MMEAVAVRZYNYFB-UHFFFAOYSA-N ,MMEAVAVRZYNYFB,18,114.07,613,613,3.96,7,2211,0,0,0.824949886,,high,943.8418684,0.736568938
126,"Cyclobutanone, 2,2-dimethyl-",DOPFCVBSOPCWAQ-UHFFFAOYSA-N  ,DOPFCVBSOPCWAQ,17,98.07,599,659,0.18,91,1756,0,0,4.111616146,,high,901.8850286,0.712016115
127,"Cyclopropanecarboxylic acid, 2-methoxy-, methyl ester, trans-",CXSOIAZZNZFSSR-RFZPGFLSSA-N  ,CXSOIAZZNZFSSR,19,130.06,378,378,0.13,63,3394,0,0,1.153272415,,high,570.8376128,0.370754921
129,2-Hydroxymethylcyclopropanecarboxylic acid methyl ester,QMFFTUAKXYCOKM-UHFFFAOYSA-N ,QMFFTUAKXYCOKM,19,130.06,NA,NA,NA,NA,6034,0,0,0.987128894,,high,107.159785,0.183334864
130,Bicyclo[2.2.0]hex-1-yl-methanol,ATGXTJPMVRTSJY-UHFFFAOYSA-N   ,ATGXTJPMVRTSJY,20,112.09,NA,NA,NA,NA,2483,0,0,0.528905321,,high,348.2266137,0.505139688
131,": 3,6-Nonadien-5-one, 2,2,8,8-tetramethyl-",KMTSPKJHYJTHDH-UHFFFAOYSA-N ,KMTSPKJHYJTHDH,32,190.14,475,498,0.16,18,10432,0,0,1.597216474,,high,800.3963315,0.415201292
133,Chrysanthemic acid,XLOPRKKSAJMMEW-UHFFFAOYSA-N ,XLOPRKKSAJMMEW,28,168.12,478,478,NA,NA,7137,0,0,0.512867654,,high,745.0793917,0.439194577
134,Butyrolactone,YEJRWHAVMIAJKC-UHFFFAOYSA-N ,YEJRWHAVMIAJKC,12,86.04,715,742,25.8,2,2301,0,0,0.875717728,,high,935.7891159,0.785320234
135,Propiolactone,VEZXCJBBBCKRPI-UHFFFAOYSA-N  ,VEZXCJBBBCKRPI,9,72.02,738,738,69.3,1,897,0,0,0.875717728,,high,888.8221383,0.715440891
136,",4-Dioxane-2,5-dione",RKDVKSZUMVYZHH-UHFFFAOYSA-N ,RKDVKSZUMVYZHH,12,116.01,291,305,NA,NA,1260,0,0,0.512867654,,high,45.2072048,0.576558723
137,"Oxirane, ethyl-",RBACIKXCRWGCBB-UHFFFAOYSA-N ,RBACIKXCRWGCBB,13,72.06,680,680,4.21,11,2123,0,0,0.750023276,,high,731.6800956,0.788960928
138,6-Oxabicyclo[3.1.0]hexan-2-one,FDSYWIWRUBJSDE-UHFFFAOYSA-N  ,FDSYWIWRUBJSDE,13,98.04,591,594,0.11,96,3225,0,0,0.845129832,,high,944.952159,0.68351386
139,"1,4-Dioxaspiro[2.4]heptan-5-one, 6-methyl-",AEVNBIDPMSDSKG-UHFFFAOYSA-N  ,AEVNBIDPMSDSKG,17,128.05,928,928,NA,NA,4048,0,0,0.616901466,,high,414.8333208,0.028426713
140,"1,4-Dioxaspiro[2.4]heptan-5-one, 7-methyl-",CRDVOLPCGSIZKD-UHFFFAOYSA-N  ,CRDVOLPCGSIZKD,17,128.05,360,360,NA,NA,1849,0,0,0.548772018,,high,564.206765,0.619898518
141,6-Oxa-bicyclo[3.1.0]hexan-3-one,VZMRGSWFCBXBPW-UHFFFAOYSA-N  ,VZMRGSWFCBXBPW,13,98.04,453,457,NA,NA,1186,0,0,1.020864986,,high,943.3846454,0.482284341
144,"2-Oxetanone, 4-methylene-",WASQWSOJHCZDFK-UHFFFAOYSA-N ,WASQWSOJHCZDFK,10,84.02,625,625,14.1,1,656,0,0,1.722443146,,high,785.6106999,0.842716452
145,Cyclobutanone,SHQSVMDWKBRBGB-UHFFFAOYSA-N ,SHQSVMDWKBRBGB,12,82.04,799,799,46.5,1,747,0,0,0.664613265,,high,981.5936168,0.977301624
147,"Ethanone, 1-oxiranyl-",YBWJKTAELMMCHQ-UHFFFAOYSA-N  ,YBWJKTAELMMCHQ,12,86.04,714,714,0.44,26,853,0,0,0.667031279,,high,778.219865,0.92887083
148,"2(5H)-Furanone, 4-(acetyloxy)-3,5-dimethyl-",OBQCRKRFVJMFQH-UHFFFAOYSA-N ,OBQCRKRFVJMFQH,22,170.06,550,550,NA,NA,2486,0,0,0.53982582,,high,174.4526736,0.976131532
151,"2-Cyclopenten-1-one, 3-(acetyloxy)-",NUDBOGKLPOMBMP-UHFFFAOYSA-N ,NUDBOGKLPOMBMP,18,140.05,NA,NA,NA,NA,1748,0,0,0.453340809,,high,218.4325149,0.955393034
156,"Oxirane, 2,3-dimethyl-, trans-",PQXKWPLDPFFDJP-QWWZWVQMSA-N ,PQXKWPLDPFFDJP,13,72.06,523,523,1.35,10,2129,0,0,1.071480918,,high,642.5166017,0.348424094
159,"2-Methyoxirane-2-carboxylic acid, methyl ester",OSYXXQUUGMLSGE-UHFFFAOYSA-N  ,OSYXXQUUGMLSGE,16,116.05,NA,NA,NA,NA,1754,0,0,1.071480918,,high,169.6427818,0.57061057
162,"Adamantan-1-amine, N-(3,4-dimethoxybenzylidene)-",SKSOGVQDJXWULT-UDWIEESQSA-N ,SKSOGVQDJXWULT,47,299.19,474,538,NA,NA,48829,0,0,1.389752173,,high,742.4875847,0.787178766
169,"(Adamantan-1-yl)[4-(2,5-dimethylphenyl)piperazin-1-yl]methanone",KLMWXSLKNKFNDV-UHFFFAOYSA-N ,KLMWXSLKNKFNDV,58,352.25,449,478,1.57,5,75551,0,0,1.181527317,,high,776.7945877,0.323891123
171,"(Adamantan-1-yl)[4-(3,4-dimethylphenyl)piperazin-1-yl]methanone",OFFQYGSGJUJTNN-UHFFFAOYSA-N  ,OFFQYGSGJUJTNN,58,352.25,464,464,3.61,8,79286,0,0,2.004851309,,high,872.2748495,0.315702215
172,Adamantan-1-yl)(4-p-tolylpiperazin-1-yl)methanone,MQEKHHGZLUHYRN-UHFFFAOYSA-N ,MQEKHHGZLUHYRN,55,338.24,430,456,1.08,13,64555,0,0,1.611927797,,high,781.3526527,0.362612264
173,Adamantan-1-ylaminoacetic acid,NJRFVURYVWPLKB-UHFFFAOYSA-N ,NJRFVURYVWPLKB,34,209.14,NA,NA,NA,NA,13840,0,0,1.251341071,,high,636.2655333,0.374996463
174,Adamantan-2-ol,FOWDOWQYRZXQDP-UHFFFAOYSA-N ,FOWDOWQYRZXQDP,27,152.12,NA,NA,NA,NA,6742,0,0,1.126951993,,high,440.0048423,0.267876372
180,2-Adamantanone,IYKFYARMMIESOX-UHFFFAOYSA-N ,IYKFYARMMIESOX,25,150.10,557,558,0.29,18,5529,0,0,2.448480611,,high,752.8927431,0.472950404
183,Amantadine,DKNWSYNQZKUICI-UHFFFAOYSA-N,DKNWSYNQZKUICI,28,151.14,484,574,NA,NA,7266,0,0,1.415033119,,high,644.4279906,0.248608487
184,Adamantane,ORILYTVJVMAKLC-UHFFFAOYSA-N  ,ORILYTVJVMAKLC,26,136.13,729,785,51,1,5477,0,0,1.178961168,,high,883.0522277,0.678440079
204,"1-Adamantanecarboxylic acid, 2-butyl ester",OTFHZSAGXXABSX-UHFFFAOYSA-N ,OTFHZSAGXXABSX,41,236.18,NA,NA,NA,NA,18786,0,0,1.15268931,,high,302.8651174,0.857270151
493,CYCLOPROPENE,OOXWYYGXTJLWHA-UHFFFAOYSA-N,OOXWYYGXTJLWHA,7,40.07,367,367,0,63,3456,0,0,0.046785797,,high,689.722011,0.572620515
494,BICYCLO[1.1.0]BUTANE,LASLVGACQUUOEB-UHFFFAOYSA-N,LASLVGACQUUOEB,10,54.10,594,594,1.18,21,2329,0,0,0.0675,,high,896.5100706,0.731101009
495,ETHYLENIMINE,NOWKCMXCCJGMRR-UHFFFAOYSA-N,NOWKCMXCCJGMRR,7,43.08,619,623,0.01,22,1123,0,0,0.089430783,,high,765.7494958,0.548643032
496,CYCLOPROPANE,LVZWSLJZHVFIQJ-UHFFFAOYSA-N,LVZWSLJZHVFIQJ,9,42.09,744,744,49.1,1,689,0,0,0.098765432,,high,892.8773597,0.825418242
497,"TETRACYCLO[3.2.0.0(2,7).0(4,6)]HEPTANE",DGZUEIPKRRSMGK-UHFFFAOYSA-N,DGZUEIPKRRSMGK,15,92.15,704,704,14.3,5,5160,0,0,0.149584488,,high,818.9190821,0.650729138
498,SPIROPENTANE,OGNAOIGAPPSUMG-UHFFFAOYSA-N,OGNAOIGAPPSUMG,13,68.13,453,453,0,98,1352,0,0,0.16,,high,433.7386084,0.48237758
499,1-METHYLCYCLOPROPENE,SHDPRTQPPWIEJG-UHFFFAOYSA-N,SHDPRTQPPWIEJG,10,54.10,615,615,0.07,26,857,0,0,0.185369084,,high,836.8377651,0.618798034
500,"TETRACYCLO[2.2.1.0(2,6).0(3,5)]HEPTANE-7-SPIRO-2'-CYCLOPROPENE",NJJDBBUBRAGNKG-UHFFFAOYSA-N,NJJDBBUBRAGNKG,17,116.17,304,304,NA,NA,1927,0,0,0.190247643,,high,529.1683294,0.096388683
501,BICYCLO[2.1.0]PENTANE,MHLPKAGDPWUOOT-UHFFFAOYNA-N,MHLPKAGDPWUOOT,13,68.13,558,558,NA,NA,1170,0,0,0.197530864,,high,785.8264935,0.590271755
502,"3-METHYL-1,2-DIAZIRINE",PNEUOFCODNXMRA-UHFFFAOYSA-N,PNEUOFCODNXMRA,8,58.10,721,721,0.04,11,296,0,0,0.242518113,,high,575.6022993,0.72379176
503,"4,7-EPOXYTRICYCLO[4.1.0.0(3,5)]HEPTANE",ONXARZMONCQRMU-UHFFFAOYNA-N,ONXARZMONCQRMU,15,108.15,654,654,6.41,4,1840,0,0,0.249158753,,high,844.5672291,0.831126063
504,"AZIRIDINE, 1-METHYL-",XLJQPXVBQNJNLW-UHFFFAOYSA-N,XLJQPXVBQNJNLW,10,57.11,723,723,33.9,1,841,0,0,0.256029748,,high,918.6398167,0.772052506
505,CYCLOPROPYLAMINE,HTJDQJBWANPRPF-UHFFFAOYSA-N,HTJDQJBWANPRPF,10,57.11,513,513,NA,NA,762,0,0,0.256029748,,high,707.9269945,0.405444892
506,"AZIRIDINE, 2-METHYL-",OZDGMOYKSFPLSE-UHFFFAOYNA-N,OZDGMOYKSFPLSE,10,57.11,692,705,0.57,12,2981,0,0,0.256029748,,high,844.4157288,0.766400819
507,"TRICYCLO[3.1.0.0(2,4)]HEX-3-ENE-3-CARBONITRILE",VNWWNLCVXWGXIO-UHFFFAOYNA-N,VNWWNLCVXWGXIO,12,105.15,744,744,10.3,5,3667,0,0,0.313118423,,high,975.7976122,0.960282054
508,"DIAZIRIDINE,3,3-DIMETHYL-",YIOCAJQMPUYWMT-UHFFFAOYSA-N,YIOCAJQMPUYWMT,13,72.13,372,372,NA,NA,2342,0,0,0.333530481,,high,650.4800576,0.403035163
509,"AZIRIDINE, 2,2-DIMETHYL-",FGRJGEWVJCCOJJ-UHFFFAOYSA-N,FGRJGEWVJCCOJJ,13,71.14,662,667,11.2,3,3368,0,0,0.3466039,,high,845.6441703,0.650666365
510,"AZIRIDINE, 1-METHYL-2-METHYLENE-",WFNSDYPJGGQENT-UHFFFAOYNA-N,WFNSDYPJGGQENT,11,69.12,523,523,0.75,7,1533,0,0,0.350511137,,high,727.9849857,0.506750525
511,"7-OXA-8-AZA-TETRACYCLO[4.3.0(1,6).0(2,4).0(3,5)]NON-8-ENE",SWSMPKJTKQYXPC-UHFFFAOYNA-N,SWSMPKJTKQYXPC,14,122.16,557,557,3.28,7,4922,0,0,0.354705136,,high,731.2157437,0.573766554
512,"1,2-DIMETHYL CYCLOPROPENE",QWKHRBFLFYXNDY-UHFFFAOYSA-N,QWKHRBFLFYXNDY,13,68.13,657,657,0.13,44,2335,0,0,0.364891157,,high,908.4728393,0.700252705
513,"CYCLOPROPANE, METHYLMETHYLENE-",PKCSMQZDZICOIA-UHFFFAOYNA-N,PKCSMQZDZICOIA,13,68.13,611,611,0.15,42,1164,0,0,0.364891157,,high,702.6100689,0.480720387
514,"BICYCLO[2.1.0]PENTANE, 1,4-DIMETHYL-",GPBOEIMNJNTXIT-UHFFFAOYNA-N,GPBOEIMNJNTXIT,19,96.19,NA,NA,NA,NA,2208,0,0,0.375,,high,268.778647,0.262353361
515,DISPIRO[2.1.2.1]OCTANE,CGEYHDBRZXGTLN-UHFFFAOYSA-N,CGEYHDBRZXGTLN,20,108.20,NA,NA,NA,NA,2482,0,0,0.381111111,,high,392.5980196,0.395096007
516,DISPIRO[2.0.2.2]OCTANE,KHCZAHBPHDGNJP-UHFFFAOYSA-N,KHCZAHBPHDGNJP,20,108.20,NA,NA,NA,NA,2563,0,0,0.381111111,,high,508.6151497,0.624944405
517,"TRICYCLO[3.2.1.0(1,5)]OCTANE",FYWVNXHGOQXBTP-UHFFFAOYNA-N,FYWVNXHGOQXBTP,20,108.20,412,419,NA,NA,6121,0,0,0.381111111,,high,601.5380217,0.338597978
518,"1-METHYLTRICYCLO[2.2.1.0(2,6)]HEPTANE",QSUFBNDGMXCLRN-UHFFFAOYNA-N,QSUFBNDGMXCLRN,20,108.20,495,538,NA,NA,2826,0,0,0.381111111,,high,736.4504329,0.525855447
519,"TRICYCLO[2.2.2.0(1,4)]OCTANE",GPMHXZWOEIWUPW-UHFFFAOYSA-N,GPMHXZWOEIWUPW,20,108.20,NA,NA,NA,NA,2496,0,0,0.381111111,,high,762.7329268,0.446762877
520,"1,3-DIAZABICYCLO[3.1.0]HEXANE",IESGURQWOKTSMU-UHFFFAOYNA-N,IESGURQWOKTSMU,14,84.14,450,450,NA,NA,1180,0,0,0.383815512,,high,723.1291489,0.423789261
523,"1,5-DIAZABICYCLO[3.1.0]HEXANE",RZIHIJJOVJRDTA-UHFFFAOYNA-N,RZIHIJJOVJRDTA,14,84.14,597,599,0.41,25,1090,0,0,0.383815512,,high,582.6786052,0.423621896
524,"TETRACYCLO[3,3,1,0(2,4),0(6,8)]NONANE",WKXMKRGIACFCFA-UHFFFAOYNA-N,WKXMKRGIACFCFA,21,120.21,336,361,NA,NA,6707,0,0,0.395061728,,high,316.0778818,0.2862882
525,"TETRACYCLO[3.3.1.0(2,8).0(4,6)]NONANE",YTFCTXSQQPWYFH-UHFFFAOYSA-N,YTFCTXSQQPWYFH,21,120.21,540,580,0.21,99,6749,0,0,0.395061728,,high,753.9979142,0.615144461
526,6-OXABICYCLO[3.1.0]HEXANE,GJEZBVHHZQAEDB-UHFFFAOYNA-N,GJEZBVHHZQAEDB,13,84.13,628,628,0.31,34,2946,0,0,0.395867132,,high,565.3983949,0.642798505
527,1-AZABICYCLO[3.1.0]HEXANE,QRDSDKAGXMWBID-UHFFFAOYNA-N,QRDSDKAGXMWBID,14,83.15,746,766,27.9,2,3570,0,0,0.395867132,,high,869.0362084,0.874942159
528,AZETIDINE,HONIICLYMWZJFZ-UHFFFAOYSA-N,HONIICLYMWZJFZ,10,57.11,725,725,4.6,8,745,0,0,0.401621983,,high,935.4007997,0.831780534
529,"BICYCLO[4.1.0]HEPTA-1,3,5-TRIENE",AMSMVCOBCOZLEE-UHFFFAOYSA-N,AMSMVCOBCOZLEE,13,90.13,655,661,74.2,1,1528,0,0,0.413620311,,high,932.3730727,0.935095265
530,"SPIRO[3.3]HEPTA-1,5-DIENE",NODMEAHDWHZSNR-UHFFFAOYSA-N,NODMEAHDWHZSNR,15,92.15,550,556,0.04,79,1528,0,0,0.414807979,,high,782.932717,0.544544942
531,"SPIRO[2,4]HEPTA-4,6-DIENE",KPDOKSJMJMDRQA-UHFFFAOYSA-N,KPDOKSJMJMDRQA,15,92.15,592,616,1.04,31,3930,0,0,0.414807979,,high,784.2112217,0.547180293
532,CYCLOPROPYLACETYLENE,NPTDXPDGUHAFKC-UHFFFAOYSA-N,NPTDXPDGUHAFKC,11,66.11,592,592,0,49,3577,0,0,0.418830241,,high,863.8363329,0.778811825
533,CYCLOBUTANE,PMPVIKIVABFJJI-UHFFFAOYSA-N,PMPVIKIVABFJJI,12,56.12,486,486,0,26,2054,0,0,0.421875,,high,860.1670723,0.688839419
534,"SPIRO[BICYCLO[3.1.0]HEXANE-2,1'-CYCLOPROPANE]",OMHSYLNUQGUJLG-UHFFFAOYNA-N,OMHSYLNUQGUJLG,20,108.20,NA,NA,NA,NA,2850,0,0,0.427266436,,high,381.7456145,0.387016293
535,5-AZABICYCLO[2.2.0]HEX-2-EN-6-ONE,KPCCPWBBOMBLEC-UHFFFAOYNA-N,KPCCPWBBOMBLEC,10,96.12,602,608,11.6,5,960,0,0,0.430215672,,high,900.1119337,0.859798888
536,ACETYLENE,HSFWRNGVRCDJHI-UHFFFAOYSA-N,HSFWRNGVRCDJHI,4,26.04,979,979,98.8,1,320,0,0,0.435149266,,high,942.9519061,0.980521652
537,"1,3-DIMETHYLDIAZIRIDINE",KRRJYZCBLTXNCY-UHFFFAOYNA-N,KRRJYZCBLTXNCY,13,72.13,460,460,NA,NA,881,0,0,0.436858492,,high,679.3646382,0.400820298
538,"1,2-DIMETHYLDIAZIRIDINE",HHUSPFWAFUDXFF-UHFFFAOYNA-N,HHUSPFWAFUDXFF,13,72.13,444,457,NA,NA,1881,0,0,0.436858492,,high,527.471056,0.6023272
539,"9,10-DIAZATETRACYCLO[6.2.0(2,7).0(3,6).0(5,8)]DEC-9-ENE, N1-OXIDE",ZVLXBROVKHBUMV-UHFFFAOYNA-N,ZVLXBROVKHBUMV,18,152.22,433,451,NA,NA,6123,0,0,0.437625614,,high,436.6846281,0.401531877
540,"2,3-DIMETHYL-AZIRIDINE",DNPSMEGHIHDFAJ-UHFFFAOYNA-N,DNPSMEGHIHDFAJ,13,71.14,549,549,0.24,57,2789,0,0,0.453340809,,high,800.9196211,0.693876204
