Database No.,name,Inchikey ,Short,number_of_atoms,Mass,Match,R.match,Prob,Rank,Time in Seconds,RBN,RBF,PHI,N/O,high/low hinderance ,Dot,Cos
95,"Benzaldehyde, 4-(2-propenyloxy)-",TYNJQOJWNMZQFZ-UHFFFAOYSA-N ,TYNJQOJWNMZQFZ,22,162.07,614,617,75.4,1,3366,2,0.064516129,1.692054945,,high,834.021153,0.895140745
102,"Cyclobutanone, 2-ethyl-",FZZIOLFULBXCKD-UHFFFAOYSA-N ,FZZIOLFULBXCKD,17,98.07,710,742,2.36,25,2135,2,0.1,1.386428864,,high,935.8053434,0.835333241
106,"7-Oxabicyclo[4.1.0]heptan-2-one, 6-methyl-",QDIYYQQYVPMKJZ-UHFFFAOYSA-N ,QDIYYQQYVPMKJZ,19,126.07,538,538,NA,NA,2424,2,0.117647059,1.153272415,,high,764.9721989,0.630732874
113,"Bicyclo[2.2.1]heptan-2-ol, 3,3-dimethyl-, exo-",HXUXMDQJDDDOIJ-UHFFFAOYSA-N  ,HXUXMDQJDDDOIJ,26,140.12,476,574,NA,NA,6128,2,0.125,1.214223942,,high,524.0031021,0.489090389
114,6-Hydroxyhexahydrocyclopenta[b]furan-2-one,MBJJGJACXCAZKL-UHFFFAOYSA-N  ,MBJJGJACXCAZKL,20,142.06,454,454,NA,NA,3041,2,0.125,1.069397896,,high,672.4524079,0.475021693
128,"Oxirane, 2-ethyl-2-methyl-",QZXUQPKFNQQQAJ-UHFFFAOYSA-N ,QZXUQPKFNQQQAJ,16,86.07,NA,NA,NA,NA,1367,2,0.068965517,2.233732042,,high,392.4934689,0.425037773
143,"2,4-Dimethyl-oxetane",KPPWZEMUMPFHEX-UHFFFAOYSA-N  ,KPPWZEMUMPFHEX,16,86.07,276,276,NA,NA,2628,2,0.083333333,2.642412029,,high,413.5615652,0.729019229
146,4-Hydroxy-2(5H)-furanone,JZQBAGOECGRTSA-UHFFFAOYSA-N ,JZQBAGOECGRTSA,11,100.02,339,339,NA,NA,830,2,0.1,2.216323279,,high,797.7694975,0.238005158
153,"Oxirane, trimethyl-",QPBYBLZYMNWGMO-UHFFFAOYSA-N  ,QPBYBLZYMNWGMO,16,86.07,303,303,NA,NA,3030,2,0.142857143,1.187874946,,high,434.3623484,0.457041281
154,"Cyclopropanemethanol, α,α-dimethyl-2-methylene-",OYJPJMVNLCUHNZ-UHFFFAOYSA-N ,OYJPJMVNLCUHNZ,20,112.09,NA,NA,NA,NA,4863,2,0.117647059,1.189801622,,high,402.6119863,0.345334347
164,1-Adamantanol,VLLNJDMHDJRNFK-UHFFFAOYSA-N  ,VLLNJDMHDJRNFK,27,152.12,NA,NA,NA,NA,6696,2,0.031746032,4.114064707,,high,668.3124533,0.238128687
166,"Adamantan-1-ol, 3-(3-methyl-[1,2,4]triazol-1-yl)-",ZQISSADDPTYZGO-UHFFFAOYSA-N ,ZQISSADDPTYZGO,36,233.15,NA,NA,NA,NA,19167,2,0.031746032,4.114064707,,high,534.5283882,0.160190883
175,"Adamantan-2-ol, 2-phenyl-",FSVUOZUVEZBKGB-UHFFFAOYSA-N ,FSVUOZUVEZBKGB,37,228.15,560,582,3.96,6,21601,2,0.047619048,2.326676724,,high,807.4771104,0.511203607
