query	reference	CosineHungarian_0.01_0.0_1.0_scores	CosineHungarian_0.01_0.0_1.0_matches
Pendimethalin	Perylene_2H12	0.00617336801786349	2
Pyridaben	Perylene_2H12	0.05477547177041114	2
Iprovalicarb	Perylene_2H12	0.008538174776331477	1
Trifloxystrobin	Perylene_2H12	0.017781926338745663	1
Amitraz	Perylene_2H12	0.04047689589215056	1
Fenpropimorph	Perylene_2H12	0.025652981124005034	1
Dimethachlor	Perylene_2H12	0.01060786516745754	2
Dioxacarb	Perylene_2H12	0.001064955285947563	1
Lilial	Perylene_2H12	0.014478682981304591	1
Metazachlor	Perylene_2H12	0.008484461405260525	1
Oxadixyl	Perylene_2H12	0.007494341840464566	1
Metolachlor	Perylene_2H12	0.0077676309959007995	1
Alachlor	Perylene_2H12	0.014514602248493188	1
Propargite	Perylene_2H12	0.008473037033143097	1
Tebufenpyrad	Perylene_2H12	0.03870847486853448	2
Bendiocarb	Perylene_2H12	0.0018231727519295218	1
Galaxolide	Perylene_2H12	0.002275649525977929	1
Metalaxyl	Perylene_2H12	0.0070455238458937966	1
alpha-Amylcinnamaldehyde	Perylene_2H12	0.006036624801817584	1
alpha-Amylcinnamyl alcohol	Perylene_2H12	0.005603203700746139	1
Cinnamyl alcohol	Perylene_2H12	0.0022392560689215623	1
Mevinphos	Perylene_2H12	0.0021727155318862768	2
Acenaphthene	Perylene_2H12	0.0020574709548928593	1
1-Nitronaphthalene	Perylene_2H12	0.003592721881545073	1
Monocrotophos	Perylene_2H12	0.016242534318635128	1
Tris(4-tert-butylphenyl) phosphate	Perylene_2H12	0.00578921390575895	1
Triadimenol	Perylene_2H12	0.01611867357137324	1
Kresoxim-methyl	Perylene_2H12	0.021346718625292714	1
Praziquantel	Perylene_2H12	0.0020069589259382016	1
Tonalide	Perylene_2H12	0.0027464168918202303	1
1,2-Benzanthraquinone	Perylene	0.00553875473372534	1
Pendimethalin	Perylene	0.15858204982285623	1
Tebuconazole	Perylene	0.03959905152998564	1
Cyproconazole	Perylene	0.004827328731337098	1
2,3-Benzofluorene	Perylene	0.00564442925593881	2
Carbaryl	Perylene	0.0035236495001280746	1
1-Nitronaphthalene	Perylene	0.00452034923714089	1
Monocrotophos	Perylene	0.002528602913816587	2
Dicrotophos	Perylene	0.003425842113781454	2
Terbumeton	Perylene	0.006568384751629321	1
Prometon	Perylene	0.008490835192814138	1
Secbumeton	Perylene	0.007988537259058416	1
1,2-Benzanthraquinone	Phenanthrene_2H10	0.0012033335900173026	1
Mepronil	Phenanthrene_2H10	0.0018830786125258981	2
Benzoximate	Phenanthrene_2H10	0.00023990114985951203	1
Pendimethalin	Phenanthrene_2H10	0.002696085686766948	2
Furalaxyl	Phenanthrene_2H10	0.0006712123768246403	1
Mepanipyrim	Phenanthrene_2H10	0.0011139704184927506	1
Pyridaben	Phenanthrene_2H10	0.002379528125287443	1
Fenoxycarb	Phenanthrene_2H10	0.001664935689978939	1
Myclobutanil	Phenanthrene_2H10	0.0009783614203303576	1
Siduron	Phenanthrene_2H10	0.001145714044092109	1
2-Chlorobiphenyl	Phenanthrene_2H10	0.0009614377370565662	1
Monolinuron	Phenanthrene_2H10	0.0012666456324442184	2
4-Methoxybenzyl alcohol	Phenanthrene_2H10	0.0004148112685117177	1
Pyriproxyfen	Phenanthrene_2H10	0.006609328506049937	2
Iprovalicarb	Phenanthrene_2H10	0.0005747490894059768	1
Trifloxystrobin	Phenanthrene_2H10	0.0019895006876790855	1
Fenoxaprop-ethyl	Phenanthrene_2H10	0.008887338065726523	1
Flutolanil	Phenanthrene_2H10	0.0008671687857497131	1
Thiobencarb	Phenanthrene_2H10	0.0007919564225000418	1
Amitraz	Phenanthrene_2H10	0.003579888503056014	2
Benzophenone	Phenanthrene_2H10	0.0014287594714917633	2
Benzyl benzoate	Phenanthrene_2H10	0.0028965202221447155	3
Metobromuron	Phenanthrene_2H10	0.0023032052915840885	1
Benzyl alcohol	Phenanthrene_2H10	0.0024754298009123693	2
Metolachlor	Phenanthrene_2H10	0.0026861153684830086	1
4-Methylbenzophenone	Phenanthrene_2H10	0.0004613906190990233	1
para-Terphenyl	Phenanthrene_2H10	0.0012736342593533249	1
2,3-Dichlorobiphenyl	Phenanthrene_2H10	0.001133289316364847	1
Benzyl salicylate	Phenanthrene_2H10	0.0027750422654745774	2
Tebufenpyrad	Phenanthrene_2H10	0.002387374775406495	1
Benalaxyl	Phenanthrene_2H10	0.002955886049161137	2
alpha-Hexylcinnamaldehyde	Phenanthrene_2H10	0.0008927753918850791	1
Benzyl cinnamate	Phenanthrene_2H10	0.0024446556722674227	2
Cinnamyl alcohol	Phenanthrene_2H10	0.0022887962390519424	2
Fenazaquin	Phenanthrene_2H10	0.0020628693954453142	1
cis-Cyphenothrin	Phenanthrene_2H10	0.004997125031720638	1
cis-Permethrin	Phenanthrene_2H10	0.001976601671676389	1
trans-Permethrin	Phenanthrene_2H10	0.0032227663481246365	1
cis-Phenothrin	Phenanthrene_2H10	0.003023311104734097	1
trans-Phenothrin	Phenanthrene_2H10	0.0011849412681606145	1
cis-Allethrin	Phenanthrene_2H10	0.006137262207915774	1
lambda-Cyhalothrin	Phenanthrene_2H10	0.0011651780112511923	1
2,3-Benzofluorene	Phenanthrene_2H10	0.0009597955931870087	1
Phantolide	Phenanthrene_2H10	0.0010465757027338031	1
Phosmet	Phenanthrene_2H10	0.0016726725851985693	1
cis-Tetramethrin	Phenanthrene_2H10	0.005377893615545316	1
1,5-Dimethylnaphthalene	Phenanthrene_2H10	0.050195163781351665	2
Acenaphthene	Phenanthrene_2H10	0.0008509789861763796	1
2,6-Dimethylnaphthalene	Phenanthrene_2H10	0.04963768687917869	2
2-Methylnaphthalene	Phenanthrene_2H10	0.0012754087480441195	1
1,2-Dimethylnaphthalene	Phenanthrene_2H10	0.04873744925605286	2
1-Methylnaphthalene	Phenanthrene_2H10	0.0008297493425567428	1
1,3-Dimethylnaphthalene	Phenanthrene_2H10	0.05083839884158748	2
1,8-Dimethylnaphthalene	Phenanthrene_2H10	0.0500112959014958	2
1,4-Dimethylnaphthalene	Phenanthrene_2H10	0.05033479537123289	2
Cycluron	Phenanthrene_2H10	0.000680029435752308	1
Triphenyl phosphate	Phenanthrene_2H10	0.0005373001568377237	1
Cashmeran	Phenanthrene_2H10	0.004953863522899816	1
Eucalyptol	Phenanthrene_2H10	0.004127244595136662	1
1-Methylphenanthrene	Phenanthrene_2H10	0.0011744072063902874	1
Triadimenol	Phenanthrene_2H10	0.0015350048423381265	1
Kresoxim-methyl	Phenanthrene_2H10	0.0017925606151051592	1
Camphor	Phenanthrene_2H10	0.008416566857769335	2
Isomethyl-alpha-ionone	Phenanthrene_2H10	0.0066278314676113505	2
delta-Iraldeine	Phenanthrene_2H10	0.006839067345096757	3
Limonene	Phenanthrene_2H10	0.008607344740623746	2
Metconazole	Phenanthrene_2H10	0.0013667427339043709	1
Estrone	Phenanthrene_2H10	0.0010046502748023993	1
Progesterone	Phenanthrene_2H10	0.010111299405002869	2
Aldrin	Phenanthrene_2H10	0.010975528265112723	1
1,2-Benzanthraquinone	Phenanthrene	0.005843171992425404	2
Mepronil	Phenanthrene	0.0037901015934933293	1
2,4,4'-Trichlorobiphenyl	Phenanthrene	0.0021823925743001604	2
2,2',5-Trichlorobiphenyl	Phenanthrene	0.0011626663439253005	1
Fenobucarb	Phenanthrene	0.13883055515415815	1
Ethiofencarb	Phenanthrene	0.003611935470666597	1
Fenoxycarb	Phenanthrene	0.009013585385847834	2
Myclobutanil	Phenanthrene	0.005211763999180226	2
Picoxystrobin	Phenanthrene	0.0032819086027205133	1
Etoxazole	Phenanthrene	0.0018237283898977612	1
Siduron	Phenanthrene	0.004065661543961246	1
2-Chlorobiphenyl	Phenanthrene	0.02856335086672865	6
Monolinuron	Phenanthrene	0.00219796793809072	1
Diethofencarb	Phenanthrene	0.006324884012892994	1
4-Methoxybenzyl alcohol	Phenanthrene	0.0014719922751110673	1
Pyriproxyfen	Phenanthrene	0.006467979665316762	1
Bifenthrin	Phenanthrene	0.01385388271545597	2
Trifloxystrobin	Phenanthrene	0.007059908603975072	1
Fenoxaprop-ethyl	Phenanthrene	0.03496720152634834	2
Flutolanil	Phenanthrene	0.0030772205355479123	1
Isoprocarb	Phenanthrene	0.10714311849121076	2
Benzophenone	Phenanthrene	0.004143785570171307	2
Dioxacarb	Phenanthrene	0.005960110805667138	1
Benzyl benzoate	Phenanthrene	0.0017247955203729011	1
Bitertanol	Phenanthrene	0.03431338880526623	3
Metobromuron	Phenanthrene	0.0081731154733827	1
4-Methylbenzophenone	Phenanthrene	0.0029980627175730107	2
para-Terphenyl	Phenanthrene	0.014728788361850197	5
2,3-Dichlorobiphenyl	Phenanthrene	0.03127691651644469	2
Methiocarb	Phenanthrene	0.010672056926422887	1
Isocarbophos	Phenanthrene	0.026069414183962848	1
Pyrimethanil	Phenanthrene	0.0008391110593814174	1
Thiofanox	Phenanthrene	0.005675561985771667	1
Cinnamyl alcohol	Phenanthrene	0.004193957581813006	1
Fenazaquin	Phenanthrene	0.007320263563603442	1
cis-Fenvalerate	Phenanthrene	0.0032236410625947455	1
trans-Fenvalerate	Phenanthrene	0.0035747329511356396	1
lambda-Cyhalothrin	Phenanthrene	0.004134731049724439	1
2,3-Benzofluorene	Phenanthrene	0.009082112884037284	3
Phantolide	Phenanthrene	0.005413091743801864	2
Phosmet	Phenanthrene	0.0072811881913405025	2
1,5-Dimethylnaphthalene	Phenanthrene	0.011721166647098139	6
Acenaphthene	Phenanthrene	0.02084928790027904	7
2,6-Dimethylnaphthalene	Phenanthrene	0.009913101102894286	4
2-Methylnaphthalene	Phenanthrene	0.010807698741069788	5
1,2-Dimethylnaphthalene	Phenanthrene	0.00957944391475522	4
1-Methylnaphthalene	Phenanthrene	0.007395923134580434	5
1-Nitronaphthalene	Phenanthrene	0.0015143170138487757	2
1,3-Dimethylnaphthalene	Phenanthrene	0.012061843498953144	5
1,8-Dimethylnaphthalene	Phenanthrene	0.012355044097505838	5
1,4-Dimethylnaphthalene	Phenanthrene	0.010461074397726536	4
Methomyl	Phenanthrene	0.024706369439234863	2
Triphenyl phosphate	Phenanthrene	0.0019066542794719309	1
7,12-Dimethylbenz[a]anthracene	Phenanthrene	0.008655650936416633	3
1-Methylphenanthrene	Phenanthrene	0.020453952803742403	5
1,4-Chrysenequinone	Phenanthrene	0.054132841497083396	3
Triadimenol	Phenanthrene	0.005447092308476998	1
Enzacamene	Phenanthrene	0.0020271844522469994	1
Isomethyl-alpha-ionone	Phenanthrene	0.00486639801296996	1
delta-Iraldeine	Phenanthrene	0.004067455287278484	1
Retene	Phenanthrene	0.004695451842576034	2
Ipconazole	Phenanthrene	0.0030841521522972128	1
Metconazole	Phenanthrene	0.0038595178256114254	1
Estrone	Phenanthrene	0.003565085030122786	1
Epoxiconazole	Phenanthrene	0.003976186401759244	1
Methoprotryne	Phenanthrene	0.0005642735388238792	1
Terbutryn	Phenanthrene	0.0005410737094474861	1
1,2-Benzanthraquinone	Anthracene	0.008322622462793474	3
Mepronil	Anthracene	0.007437236017922796	2
2,4,4'-Trichlorobiphenyl	Anthracene	0.002394599573119496	2
2,2',5-Trichlorobiphenyl	Anthracene	0.0012890357579399255	1
Fenobucarb	Anthracene	0.14019750318488136	1
Pyridaben	Anthracene	0.0009860341510083003	1
Ethiofencarb	Anthracene	0.004004514279945434	1
Fenoxycarb	Anthracene	0.011023499011743742	2
Myclobutanil	Anthracene	0.0064769047677896196	2
Picoxystrobin	Anthracene	0.0047537825877931005	1
Etoxazole	Anthracene	0.002641636106981666	1
Siduron	Anthracene	0.005325744821464702	1
2-Chlorobiphenyl	Anthracene	0.02489997515223532	6
Monolinuron	Anthracene	0.002879191058443814	1
Diethofencarb	Anthracene	0.005879741174006354	1
4-Methoxybenzyl alcohol	Anthracene	0.001928211473493779	1
Pyriproxyfen	Anthracene	0.00847262095859014	1
Iprovalicarb	Anthracene	0.0018530985274605833	1
Bifenthrin	Anthracene	0.014153245488772356	2
Trifloxystrobin	Anthracene	0.009248008296086793	1
Fenoxaprop-ethyl	Anthracene	0.045114481637610546	2
Flutolanil	Anthracene	0.0040309531805570705	1
Isoprocarb	Anthracene	0.10742769438554613	2
Benzophenone	Anthracene	0.005269573000757861	2
Fenpropimorph	Anthracene	0.0014636366152967542	1
Dioxacarb	Anthracene	0.005545652154766405	1
Lilial	Anthracene	0.0007700957147947356	1
Benzyl benzoate	Anthracene	0.010582832796547847	2
Bitertanol	Anthracene	0.028588572310963043	3
Metobromuron	Anthracene	0.010706234873941558	1
4-Methylbenzophenone	Anthracene	0.006739621029772546	3
para-Terphenyl	Anthracene	0.015925889909748966	5
2,3-Dichlorobiphenyl	Anthracene	0.025936269642242372	2
Methiocarb	Anthracene	0.009920961774748417	1
Isocarbophos	Anthracene	0.025960669367910087	1
Benzyl salicylate	Anthracene	0.009158176671223029	1
Pyrimethanil	Anthracene	0.0009303134696182809	1
Tebufenpyrad	Anthracene	0.0018416216311029987	1
Galaxolide	Anthracene	0.0009075506900543752	1
Thiofanox	Anthracene	0.005003116026058817	1
Benalaxyl	Anthracene	0.009541271549240785	1
alpha-Amylcinnamaldehyde	Anthracene	0.0012292119593627767	1
Benzyl cinnamate	Anthracene	0.007206854832241075	1
alpha-Amylcinnamyl alcohol	Anthracene	0.0010823225266500063	1
Cinnamyl alcohol	Anthracene	0.005493804054092811	1
Fenazaquin	Anthracene	0.009589055887724783	1
cis-Fenvalerate	Anthracene	0.0034092250159672285	1
trans-Fenvalerate	Anthracene	0.0037805291488018423	1
lambda-Cyhalothrin	Anthracene	0.0054162212565201555	1
2,3-Benzofluorene	Anthracene	0.010421354627549947	3
Phantolide	Anthracene	0.006748828584453207	2
Phosmet	Anthracene	0.009267082014749482	2
1,5-Dimethylnaphthalene	Anthracene	0.01250588845560245	6
Carbaryl	Anthracene	0.0006266526832648499	1
Acenaphthene	Anthracene	0.01845958320077132	6
2,6-Dimethylnaphthalene	Anthracene	0.011848448042702221	4
2-Methylnaphthalene	Anthracene	0.013266652603537665	5
1,2-Dimethylnaphthalene	Anthracene	0.011848303805278113	4
1-Methylnaphthalene	Anthracene	0.009119576108415444	5
1-Nitronaphthalene	Anthracene	0.002463400143500746	3
1,3-Dimethylnaphthalene	Anthracene	0.014226158473656627	5
1,8-Dimethylnaphthalene	Anthracene	0.014936018910954668	5
1,4-Dimethylnaphthalene	Anthracene	0.012485250842370269	4
Methomyl	Anthracene	0.021869859423513025	2
Tri-p-cresyl-phosphate	Anthracene	0.002628975879498178	1
Tri-m-cresyl phosphate	Anthracene	0.0033524189709670214	1
Triphenyl phosphate	Anthracene	0.002497589640806036	1
Tri-o-cresyl phosphate	Anthracene	0.007395272543799566	1
7,12-Dimethylbenz[a]anthracene	Anthracene	0.009025310902842892	3
1-Methylphenanthrene	Anthracene	0.020116216658073543	5
1,4-Chrysenequinone	Anthracene	0.052087514150089505	3
Triadimenol	Anthracene	0.007135326770375254	1
Kresoxim-methyl	Anthracene	0.002387425960641323	1
Enzacamene	Anthracene	0.00365021934129103	2
Isomethyl-alpha-ionone	Anthracene	0.0063746560643386544	1
delta-Iraldeine	Anthracene	0.00532809450529341	1
Retene	Anthracene	0.004842402493870018	2
Ipconazole	Anthracene	0.004467336106661176	1
Metconazole	Anthracene	0.005590438631185441	1
Estrone	Anthracene	0.004670023053310647	1
Epoxiconazole	Anthracene	0.005759430858870999	1
Methoprotryne	Anthracene	0.0006053942718261585	1
Terbutryn	Anthracene	0.0005805037837108905	1
1,2-Benzanthraquinone	Acenaphthylene	0.007533055255506968	3
Carbetamide	Acenaphthylene	0.007469477062261711	1
Mepronil	Acenaphthylene	0.03156628733247974	2
Benzoximate	Acenaphthylene	0.005911091754491677	1
2,4,4'-Trichlorobiphenyl	Acenaphthylene	0.003435378944389429	2
Mepanipyrim	Acenaphthylene	0.007298160741676298	1
2,2',5-Trichlorobiphenyl	Acenaphthylene	0.0014671772281367318	1
Pyridaben	Acenaphthylene	0.01143718457440084	1
Carboxin	Acenaphthylene	0.004534689792864879	1
Ethiofencarb	Acenaphthylene	0.00455792799004592	1
Fenoxycarb	Acenaphthylene	0.03001762218906582	3
Myclobutanil	Acenaphthylene	0.004840977478689729	2
Etoxazole	Acenaphthylene	0.0016314841386721342	1
Siduron	Acenaphthylene	0.012811432406981548	2
2-Chlorobiphenyl	Acenaphthylene	0.14201190831726526	7
Monolinuron	Acenaphthylene	0.0016747191937745995	1
Diethofencarb	Acenaphthylene	0.023250161489035928	1
4-Methoxybenzyl alcohol	Acenaphthylene	0.0011215694612714455	1
Pyriproxyfen	Acenaphthylene	0.02340754660236084	2
Iprovalicarb	Acenaphthylene	0.021494417684666412	1
Bifenthrin	Acenaphthylene	0.0031444893537458645	1
Trifloxystrobin	Acenaphthylene	0.005379225165423521	1
Fenoxaprop-ethyl	Acenaphthylene	0.0283576622258486	2
Flutolanil	Acenaphthylene	0.0023446567190766664	1
Amitraz	Acenaphthylene	0.002297908343761096	1
Benzophenone	Acenaphthylene	0.015682077862800212	3
Fenpropimorph	Acenaphthylene	0.016976980058836737	1
Dioxacarb	Acenaphthylene	0.016575655603073065	1
Lilial	Acenaphthylene	0.008932476447246488	1
Benzyl benzoate	Acenaphthylene	0.11265004680021132	4
2,4',5-Trichlorobiphenyl	Acenaphthylene	0.0008869688374457386	1
Bitertanol	Acenaphthylene	0.1924756189698504	4
Propham	Acenaphthylene	0.007105151981382139	1
Metobromuron	Acenaphthylene	0.006227421755796942	1
Benzyl alcohol	Acenaphthylene	0.012693196274171665	1
4-Methylbenzophenone	Acenaphthylene	0.03638289803127947	3
para-Terphenyl	Acenaphthylene	0.02729570532672517	6
2,3-Dichlorobiphenyl	Acenaphthylene	0.1783890507812242	3
Fenpropathrin	Acenaphthylene	0.011002649924028798	1
Methiocarb	Acenaphthylene	0.03923029204230799	1
Pyracarbolid	Acenaphthylene	0.003357274155640647	1
Benzyl salicylate	Acenaphthylene	0.11192220668023628	3
Pyrimethanil	Acenaphthylene	0.008901778132415748	2
Tebufenpyrad	Acenaphthylene	0.021361295133232244	1
Galaxolide	Acenaphthylene	0.013150775333641701	2
Mefenacet	Acenaphthylene	0.001954864194895398	1
Benalaxyl	Acenaphthylene	0.12141020033019474	3
Fenamidone	Acenaphthylene	0.008090531350278346	1
alpha-Hexylcinnamaldehyde	Acenaphthylene	0.022324981798793712	1
alpha-Amylcinnamaldehyde	Acenaphthylene	0.01901378356718926	2
Benzyl cinnamate	Acenaphthylene	0.09233478147589587	3
alpha-Amylcinnamyl alcohol	Acenaphthylene	0.016197975327904863	2
Cinnamyl alcohol	Acenaphthylene	0.01028664773994499	2
Fenazaquin	Acenaphthylene	0.011242064087546978	2
trans-Cyphenothrin	Acenaphthylene	0.0021998826888177873	1
cis-Cyphenothrin	Acenaphthylene	0.007644849926037222	1
Flucythrinate	Acenaphthylene	0.00947320029137254	1
cis-Cypermethrin	Acenaphthylene	0.012291803223936162	1
trans-Cypermethrin	Acenaphthylene	0.012655485145778933	1
cis-Fenvalerate	Acenaphthylene	0.018305673552402486	2
trans-Fenvalerate	Acenaphthylene	0.01725862893701967	2
Deltamethrin	Acenaphthylene	0.028255752315430736	2
cis-Cyfluthrin_isomer2	Acenaphthylene	0.011844535386868214	1
cis-Cyfluthrin_isomer1	Acenaphthylene	0.01464020473255227	1
trans-Cyfluthrin_Isomer2	Acenaphthylene	0.005384676180351952	1
trans-Cyfluthrin_isomer1	Acenaphthylene	0.011801296905366113	1
cis-Permethrin	Acenaphthylene	0.008433617009357453	1
trans-Permethrin	Acenaphthylene	0.011937127510641124	1
cis-Phenothrin	Acenaphthylene	0.00973360089814784	1
trans-Phenothrin	Acenaphthylene	0.004281138418122351	1
cis-Allethrin	Acenaphthylene	0.004728319586311119	1
lambda-Cyhalothrin	Acenaphthylene	0.01679652793682725	2
2,3-Benzofluorene	Acenaphthylene	0.009434435870923545	4
Celestolide	Acenaphthylene	0.0023326685599430767	1
Traseolide	Acenaphthylene	0.0033445812393085293	1
Phantolide	Acenaphthylene	0.00753328852574957	3
Phosmet	Acenaphthylene	0.0062205685079176985	2
trans-Tetramethrin	Acenaphthylene	0.003614809016680235	1
1,5-Dimethylnaphthalene	Acenaphthylene	0.018081347943295138	5
Carbaryl	Acenaphthylene	0.0014596785385487384	1
Acenaphthene	Acenaphthylene	0.08806894056316641	7
2,6-Dimethylnaphthalene	Acenaphthylene	0.011079116409111469	5
2-Methylnaphthalene	Acenaphthylene	0.008920136541738495	4
1,2-Dimethylnaphthalene	Acenaphthylene	0.00823902324558823	4
1-Methylnaphthalene	Acenaphthylene	0.0068936378388653454	5
1-Nitronaphthalene	Acenaphthylene	0.004312748033310929	3
1,3-Dimethylnaphthalene	Acenaphthylene	0.0073460886499269636	3
1,8-Dimethylnaphthalene	Acenaphthylene	0.012166990704411622	5
1,4-Dimethylnaphthalene	Acenaphthylene	0.012577843441962987	5
Methomyl	Acenaphthylene	0.0007423202307604348	1
Tri-p-cresyl-phosphate	Acenaphthylene	0.030493956365225075	1
Monocrotophos	Acenaphthylene	0.0007808874140757257	1
Tris(3,5-xylenyl)phosphate	Acenaphthylene	0.010298100064491566	1
Tri-m-cresyl phosphate	Acenaphthylene	0.03888530078036792	1
Isodecyl diphenyl phosphate	Acenaphthylene	0.008850761734595543	1
Triphenyl phosphate	Acenaphthylene	0.009402164460225834	2
Tri-o-cresyl phosphate	Acenaphthylene	0.08577907466485164	1
Cashmeran	Acenaphthylene	0.003260948910456415	1
