query	reference	CosineHungarian_0.01_0.0_1.0_scores	CosineHungarian_0.01_0.0_1.0_matches
Pendimethalin	Perylene_2H12	0.0016602076173044941	1
Pyridaben	Perylene_2H12	0.05188677377997425	1
Iprovalicarb	Perylene_2H12	0.008642595901327654	1
Trifloxystrobin	Perylene_2H12	0.018897076030384322	1
Amitraz	Perylene_2H12	0.04149304454391644	1
Fenpropimorph	Perylene_2H12	0.027208779038402034	1
Lilial	Perylene_2H12	0.01482235267852163	1
Alachlor	Perylene_2H12	0.015304942202406734	1
Tebufenpyrad	Perylene_2H12	0.03699437398750663	1
alpha-Amylcinnamaldehyde	Perylene_2H12	0.00626349860315425	1
alpha-Amylcinnamyl alcohol	Perylene_2H12	0.0058037106081551635	1
1-Nitronaphthalene	Perylene_2H12	0.003628262608228222	1
Monocrotophos	Perylene_2H12	0.016350032645878837	1
Triadimenol	Perylene_2H12	0.01711310110043884	1
Kresoxim-methyl	Perylene_2H12	0.022101636261038497	1
Pendimethalin	Perylene	0.16138798519404013	1
Cyproconazole	Perylene	0.005353165156254021	1
Monocrotophos	Perylene	0.0011162902347584957	1
Mepronil	Phenanthrene_2H10	0.001079853924307989	1
Pendimethalin	Phenanthrene_2H10	0.002023675629917216	1
Pyridaben	Phenanthrene_2H10	0.00246062032926184	1
Fenoxycarb	Phenanthrene_2H10	0.0017250061400470923	1
Pyriproxyfen	Phenanthrene_2H10	0.0069071897560437755	2
Fenoxaprop-ethyl	Phenanthrene_2H10	0.00938095842055813	1
Amitraz	Phenanthrene_2H10	0.002456341055205644	1
Benzophenone	Phenanthrene_2H10	0.0009492986584952893	1
Benzyl benzoate	Phenanthrene_2H10	0.0019038408976692284	1
Benzyl alcohol	Phenanthrene_2H10	0.0017412163510269838	1
Benzyl salicylate	Phenanthrene_2H10	0.0020888809352027538	1
alpha-Hexylcinnamaldehyde	Phenanthrene_2H10	0.0008927753918850791	1
cis-Permethrin	Phenanthrene_2H10	0.002031746566598748	1
trans-Permethrin	Phenanthrene_2H10	0.0033671442933618624	1
cis-Phenothrin	Phenanthrene_2H10	0.0031148413331259423	1
1,5-Dimethylnaphthalene	Phenanthrene_2H10	0.050011233162101605	1
2,6-Dimethylnaphthalene	Phenanthrene_2H10	0.05035195339799243	2
2-Methylnaphthalene	Phenanthrene_2H10	0.0012931368226178628	1
1,2-Dimethylnaphthalene	Phenanthrene_2H10	0.04841551825680583	1
1,3-Dimethylnaphthalene	Phenanthrene_2H10	0.05038978825184434	1
1,8-Dimethylnaphthalene	Phenanthrene_2H10	0.04958716236773217	1
1,4-Dimethylnaphthalene	Phenanthrene_2H10	0.05125188414131098	2
1-Methylphenanthrene	Phenanthrene_2H10	0.001191190680723998	1
Isomethyl-alpha-ionone	Phenanthrene_2H10	0.00545397878264943	1
delta-Iraldeine	Phenanthrene_2H10	0.0023906644404792544	1
Progesterone	Phenanthrene_2H10	0.008211198003812821	1
Mepronil	Phenanthrene	0.003831951433076282	1
Fenobucarb	Phenanthrene	0.14085993403286148	1
Ethiofencarb	Phenanthrene	0.0037283822002256647	1
Fenoxycarb	Phenanthrene	0.009338793220669645	2
2-Chlorobiphenyl	Phenanthrene	0.021606292135145415	2
Diethofencarb	Phenanthrene	0.00648137189996969	1
Pyriproxyfen	Phenanthrene	0.006759470776143298	1
Bifenthrin	Phenanthrene	0.0016922207564539645	1
Fenoxaprop-ethyl	Phenanthrene	0.03690934914099446	2
Isoprocarb	Phenanthrene	0.10344159982684772	1
Benzophenone	Phenanthrene	0.0033686652175383674	1
Bitertanol	Phenanthrene	0.01681441343081576	2
para-Terphenyl	Phenanthrene	0.004065849732868852	1
2,3-Dichlorobiphenyl	Phenanthrene	0.028046702337573705	1
Methiocarb	Phenanthrene	0.011116805743731245	1
Thiofanox	Phenanthrene	0.005847063029107475	1
2,3-Benzofluorene	Phenanthrene	0.005771408538221466	2
1,5-Dimethylnaphthalene	Phenanthrene	0.0019615815085782407	1
Acenaphthene	Phenanthrene	0.006904200729093777	3
2,6-Dimethylnaphthalene	Phenanthrene	0.008156205512077462	2
2-Methylnaphthalene	Phenanthrene	0.006667148109702133	2
1-Methylnaphthalene	Phenanthrene	0.0015047697912662428	1
1,3-Dimethylnaphthalene	Phenanthrene	0.0023913983130266513	1
1,8-Dimethylnaphthalene	Phenanthrene	0.00534509305866586	2
1,4-Dimethylnaphthalene	Phenanthrene	0.00847061726701358	2
Methomyl	Phenanthrene	0.023864905591331854	1
7,12-Dimethylbenz[a]anthracene	Phenanthrene	0.00805179398888089	2
1-Methylphenanthrene	Phenanthrene	0.016524845745643026	2
1,4-Chrysenequinone	Phenanthrene	0.051812416616306575	1
Methoprotryne	Phenanthrene	0.0005682749675625066	1
Mepronil	Anthracene	0.007519357071043103	2
Fenobucarb	Anthracene	0.14224686365523614	1
Ethiofencarb	Anthracene	0.004133617525327105	1
Fenoxycarb	Anthracene	0.011421224011542181	2
2-Chlorobiphenyl	Anthracene	0.01661959815135588	2
Diethofencarb	Anthracene	0.006025215505393698	1
Pyriproxyfen	Anthracene	0.008854454826756867	1
Iprovalicarb	Anthracene	0.001875761759127215	1
Bifenthrin	Anthracene	0.0020502114854232503	1
Fenoxaprop-ethyl	Anthracene	0.04762022928322808	2
Isoprocarb	Anthracene	0.10446010249739571	1
Benzophenone	Anthracene	0.004412726230052465	1
Benzyl benzoate	Anthracene	0.008356785770747142	1
Bitertanol	Anthracene	0.015451403605564181	2
4-Methylbenzophenone	Anthracene	0.002675836278900442	1
para-Terphenyl	Anthracene	0.004507764174530118	1
2,3-Dichlorobiphenyl	Anthracene	0.021268382183014804	1
Methiocarb	Anthracene	0.010334409345943084	1
Benzyl salicylate	Anthracene	0.009206982996170765	1
Galaxolide	Anthracene	0.0009195116648083754	1
Thiofanox	Anthracene	0.005154297463342075	1
Benalaxyl	Anthracene	0.009668094547946197	1
Benzyl cinnamate	Anthracene	0.007270929919407649	1
2,3-Benzofluorene	Anthracene	0.0060598020811636856	2
1,5-Dimethylnaphthalene	Anthracene	0.0021747844683749707	1
Acenaphthene	Anthracene	0.0063854824276819875	3
2,6-Dimethylnaphthalene	Anthracene	0.010115443840530338	2
2-Methylnaphthalene	Anthracene	0.008315264288063083	2
1-Methylnaphthalene	Anthracene	0.0016683221962557147	1
1,3-Dimethylnaphthalene	Anthracene	0.0026513177689149806	1
1,8-Dimethylnaphthalene	Anthracene	0.005610276443745962	2
1,4-Dimethylnaphthalene	Anthracene	0.010513562850234628	2
Methomyl	Anthracene	0.02103736897309907	1
Tri-p-cresyl-phosphate	Anthracene	0.0026627744079061482	1
Tri-m-cresyl phosphate	Anthracene	0.003502381316265148	1
Tri-o-cresyl phosphate	Anthracene	0.0077186099366388155	1
7,12-Dimethylbenz[a]anthracene	Anthracene	0.00837216341844274	2
1-Methylphenanthrene	Anthracene	0.015989756043817513	2
1,4-Chrysenequinone	Anthracene	0.049631384280787595	1
Kresoxim-methyl	Anthracene	0.002471856265521529	1
Enzacamene	Anthracene	0.0014462179054284406	1
Methoprotryne	Anthracene	0.000609687299712128	1
Carbetamide	Acenaphthylene	0.0076515998900807975	1
Mepronil	Acenaphthylene	0.03191483842761702	2
Benzoximate	Acenaphthylene	0.0059186289969449385	1
Mepanipyrim	Acenaphthylene	0.007529094853197924	1
Carboxin	Acenaphthylene	0.004581524154914593	1
Ethiofencarb	Acenaphthylene	0.004704872976277534	1
Fenoxycarb	Acenaphthylene	0.03110065025178684	3
Siduron	Acenaphthylene	0.009988224555742569	1
2-Chlorobiphenyl	Acenaphthylene	0.134775432296136	2
Diethofencarb	Acenaphthylene	0.023825408187346055	1
Pyriproxyfen	Acenaphthylene	0.024462449696356872	2
Iprovalicarb	Acenaphthylene	0.02175729251852346	1
Fenoxaprop-ethyl	Acenaphthylene	0.029932702939569206	2
Benzophenone	Acenaphthylene	0.014742962796851755	2
Benzyl benzoate	Acenaphthylene	0.11178154682057655	3
Bitertanol	Acenaphthylene	0.07910514653657574	2
Propham	Acenaphthylene	0.0071596079229930745	1
Benzyl alcohol	Acenaphthylene	0.012750657887664175	1
4-Methylbenzophenone	Acenaphthylene	0.035831850696892875	2
para-Terphenyl	Acenaphthylene	0.010897607683334943	2
2,3-Dichlorobiphenyl	Acenaphthylene	0.1804154014610325	2
Fenpropathrin	Acenaphthylene	0.011540796842090185	1
Methiocarb	Acenaphthylene	0.04086518080918474	1
Pyracarbolid	Acenaphthylene	0.0033734907999244243	1
Benzyl salicylate	Acenaphthylene	0.11122913735541057	2
Pyrimethanil	Acenaphthylene	0.007990674816610442	1
Galaxolide	Acenaphthylene	0.013324094679310195	2
Benalaxyl	Acenaphthylene	0.11834463897268631	2
Fenamidone	Acenaphthylene	0.0085516610059533	1
alpha-Hexylcinnamaldehyde	Acenaphthylene	0.022324981798793712	1
alpha-Amylcinnamaldehyde	Acenaphthylene	0.004934678406086614	1
Benzyl cinnamate	Acenaphthylene	0.08951363962145807	2
Cinnamyl alcohol	Acenaphthylene	0.007227123583774078	1
Fenazaquin	Acenaphthylene	0.006247351868012132	1
cis-Cyphenothrin	Acenaphthylene	0.007894086653549948	1
Flucythrinate	Acenaphthylene	0.009766112368598812	1
